scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,4375.121518,606.983917
scenario3,dataset_002,4751.425606,692.960278
scenario3,dataset_003,6283.119245,371.623327
scenario3,dataset_004,4866.055657,278.838011
scenario3,dataset_005,4974.084347,352.137788
scenario3,dataset_006,5422.718734,456.093431
scenario3,dataset_007,4546.934893,338.752995
scenario3,dataset_008,4688.285407,342.822968
scenario3,dataset_009,5202.624748,440.554482
scenario3,dataset_010,5323.457161,299.396034
scenario3,dataset_011,6139.181539,519.767288
scenario3,dataset_012,4591.143163,587.952719
scenario3,dataset_013,5776.768854,572.232492
scenario3,dataset_014,4715.478952,404.491582
scenario3,dataset_015,5578.230153,536.595286
scenario3,dataset_016,5825.824405,586.373021
scenario3,dataset_017,5541.710209,332.669060
scenario3,dataset_018,5194.843164,235.081998
scenario3,dataset_019,6043.015812,373.785550
scenario3,dataset_020,4653.128250,511.656707
scenario3,dataset_021,5527.281745,473.083041
scenario3,dataset_022,5221.568636,207.172621
scenario3,dataset_023,4953.006068,454.769485
scenario3,dataset_024,5122.352893,221.480548
scenario3,dataset_025,4784.045401,623.590090
scenario3,dataset_026,5423.397398,514.040111
scenario3,dataset_027,5856.327441,539.329124
scenario3,dataset_028,4555.659257,547.750282
scenario3,dataset_029,5932.537883,436.365858
scenario3,dataset_030,4904.345702,459.839708
scenario3,dataset_031,5254.429526,747.896553
scenario3,dataset_032,5241.307124,272.831272
scenario3,dataset_033,5049.699827,487.546993
scenario3,dataset_034,4931.202760,473.362085
scenario3,dataset_035,5266.686938,534.621359
scenario3,dataset_036,4718.350147,798.182959
scenario3,dataset_037,6131.379784,458.723872
scenario3,dataset_038,6101.996909,518.275708
scenario3,dataset_039,5193.180375,579.007500
scenario3,dataset_040,5113.815940,556.745623
scenario3,dataset_041,6205.357954,678.150136
scenario3,dataset_042,4890.220809,619.323161
scenario3,dataset_043,5420.600535,460.571642
scenario3,dataset_044,5612.277634,456.289824
scenario3,dataset_045,5126.123766,551.088537
scenario3,dataset_046,4749.831268,538.484094
scenario3,dataset_047,4945.273801,478.598943
scenario3,dataset_048,5550.058004,558.580109
scenario3,dataset_049,4401.672983,594.219795
scenario3,dataset_050,5037.170332,633.009425
scenario3,dataset_051,5056.255422,477.213141
scenario3,dataset_052,4835.119383,556.258279
scenario3,dataset_053,5972.206077,423.403065
scenario3,dataset_054,5165.124151,391.731758
scenario3,dataset_055,6478.117942,613.658180
scenario3,dataset_056,5340.179903,345.084810
scenario3,dataset_057,5939.571906,410.825394
scenario3,dataset_058,6441.339118,594.702535
scenario3,dataset_059,6402.386462,404.289815
scenario3,dataset_060,6283.938359,549.354939
scenario3,dataset_061,4847.757512,637.797580
scenario3,dataset_062,5266.902267,709.610643
scenario3,dataset_063,4773.162897,471.317301
scenario3,dataset_064,4464.595601,523.519738
scenario3,dataset_065,5011.217309,296.417197
scenario3,dataset_066,5327.555871,622.484126
scenario3,dataset_067,4630.042504,536.052505
scenario3,dataset_068,4757.169868,489.286809
scenario3,dataset_069,5270.488819,529.433383
scenario3,dataset_070,5298.425281,692.024115
scenario3,dataset_071,4731.382737,513.504155
scenario3,dataset_072,5452.288323,511.728243
scenario3,dataset_073,6293.271394,293.357878
scenario3,dataset_074,5312.298630,474.490780
scenario3,dataset_075,4712.634675,404.538895
scenario3,dataset_076,6160.482427,485.165925
scenario3,dataset_077,4998.726618,390.949142
scenario3,dataset_078,5415.775404,592.802731
scenario3,dataset_079,5766.692011,612.321389
scenario3,dataset_080,4647.119135,344.827126
scenario3,dataset_081,4626.049588,436.007638
scenario3,dataset_082,5103.008062,641.654407
scenario3,dataset_083,5727.637779,530.544777
scenario3,dataset_084,4838.549135,552.514392
scenario3,dataset_085,5462.686977,515.203414
scenario3,dataset_086,5339.506119,329.444534
scenario3,dataset_087,6080.630639,488.015021
scenario3,dataset_088,5133.614697,327.423226
scenario3,dataset_089,4906.429021,386.059997
scenario3,dataset_090,5750.153842,267.846273
scenario3,dataset_091,5355.024193,396.327314
scenario3,dataset_092,4990.558870,486.330195
scenario3,dataset_093,5246.052727,427.772107
scenario3,dataset_094,5649.237151,748.994965
scenario3,dataset_095,5043.306384,245.057687
scenario3,dataset_096,5758.001467,489.999396
scenario3,dataset_097,5562.930275,404.524201
scenario3,dataset_098,5299.297546,364.929000
scenario3,dataset_099,6586.814384,268.663080
scenario3,dataset_100,5262.008677,427.931777
