scenario,dataset,total_distance_sum,total_time_ms_sum
scenario1,dataset_001,4447.199247,104.436586
scenario1,dataset_002,4779.622662,99.071468
scenario1,dataset_003,6536.972473,111.209914
scenario1,dataset_004,4993.568046,107.665355
scenario1,dataset_005,5141.998274,108.912556
scenario1,dataset_006,5605.731182,116.757357
scenario1,dataset_007,4618.509371,115.805650
scenario1,dataset_008,4854.267071,87.291290
scenario1,dataset_009,5202.383726,121.405653
scenario1,dataset_010,5344.553205,109.783603
scenario1,dataset_011,6140.262080,110.278403
scenario1,dataset_012,4617.464825,90.327803
scenario1,dataset_013,5853.692146,118.976084
scenario1,dataset_014,4888.643252,82.899297
scenario1,dataset_015,5572.197412,113.691705
scenario1,dataset_016,5982.932680,98.373839
scenario1,dataset_017,5742.328939,93.945883
scenario1,dataset_018,5387.481120,97.851750
scenario1,dataset_019,6010.240379,106.219813
scenario1,dataset_020,4681.212150,90.504555
scenario1,dataset_021,5604.575895,98.925826
scenario1,dataset_022,5351.575999,97.634269
scenario1,dataset_023,5076.425811,113.769660
scenario1,dataset_024,5251.477658,108.186461
scenario1,dataset_025,4742.475289,107.482784
scenario1,dataset_026,5459.634985,108.434560
scenario1,dataset_027,5987.071949,91.550015
scenario1,dataset_028,4528.608088,106.503184
scenario1,dataset_029,6094.630375,91.715950
scenario1,dataset_030,4839.619631,111.147977
scenario1,dataset_031,5254.528691,113.446428
scenario1,dataset_032,5307.738643,96.307338
scenario1,dataset_033,5103.846053,100.639367
scenario1,dataset_034,4851.291410,102.821828
scenario1,dataset_035,5358.474736,116.316606
scenario1,dataset_036,4759.132772,104.860705
scenario1,dataset_037,6185.500072,117.739136
scenario1,dataset_038,6044.818837,110.048543
scenario1,dataset_039,5173.518683,106.120853
scenario1,dataset_040,5104.858036,114.087262
scenario1,dataset_041,6325.797855,119.604074
scenario1,dataset_042,4960.543445,114.378045
scenario1,dataset_043,5510.514943,118.258026
scenario1,dataset_044,5733.146566,92.759904
scenario1,dataset_045,5137.144965,91.937349
scenario1,dataset_046,4835.268557,105.450170
scenario1,dataset_047,5087.123139,98.350324
scenario1,dataset_048,5611.292759,107.233739
scenario1,dataset_049,4410.510241,86.043146
scenario1,dataset_050,5261.025363,96.426686
scenario1,dataset_051,4929.887333,98.187003
scenario1,dataset_052,4813.446155,109.004475
scenario1,dataset_053,6066.615397,112.017874
scenario1,dataset_054,5252.637813,109.373593
scenario1,dataset_055,6424.979864,112.810162
scenario1,dataset_056,5363.333564,99.638075
scenario1,dataset_057,6212.272323,90.662866
scenario1,dataset_058,6641.349024,101.555452
scenario1,dataset_059,6444.145362,110.389141
scenario1,dataset_060,6472.357339,115.105965
scenario1,dataset_061,5019.928300,105.858369
scenario1,dataset_062,5358.661635,86.905316
scenario1,dataset_063,5015.039267,110.647704
scenario1,dataset_064,4542.114159,112.522825
scenario1,dataset_065,5088.255353,98.828531
scenario1,dataset_066,5410.684179,103.025232
scenario1,dataset_067,4716.083464,113.632117
scenario1,dataset_068,4647.697384,111.546858
scenario1,dataset_069,5241.365013,91.545431
scenario1,dataset_070,5286.209645,115.953883
scenario1,dataset_071,4781.601118,98.770817
scenario1,dataset_072,5624.501174,114.470518
scenario1,dataset_073,6203.556599,115.134981
scenario1,dataset_074,5401.059842,113.849580
scenario1,dataset_075,4704.779978,116.122083
scenario1,dataset_076,6155.028210,102.121577
scenario1,dataset_077,4910.667237,115.518509
scenario1,dataset_078,5501.739412,100.121470
scenario1,dataset_079,5865.280665,109.721330
scenario1,dataset_080,4727.724059,104.589075
scenario1,dataset_081,4817.400049,91.448966
scenario1,dataset_082,5275.837284,98.491556
scenario1,dataset_083,5780.784269,117.079915
scenario1,dataset_084,4982.995988,100.691791
scenario1,dataset_085,5433.646019,112.758982
scenario1,dataset_086,5261.006602,114.935244
scenario1,dataset_087,6274.390847,112.739955
scenario1,dataset_088,5231.644125,114.464696
scenario1,dataset_089,4859.062518,112.620823
scenario1,dataset_090,5872.730504,109.935601
scenario1,dataset_091,5393.862019,114.182238
scenario1,dataset_092,5065.817131,99.076103
scenario1,dataset_093,5311.688791,100.873477
scenario1,dataset_094,5700.245523,101.539695
scenario1,dataset_095,5182.468782,106.122813
scenario1,dataset_096,5766.857044,100.853527
scenario1,dataset_097,5575.791015,102.529349
scenario1,dataset_098,5287.291344,89.141297
scenario1,dataset_099,6617.722194,102.448290
scenario1,dataset_100,5323.297744,91.237417
