scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,4724.62,4.58
scenario3,dataset_002,5126.37,3.09
scenario3,dataset_003,6623.55,3.85
scenario3,dataset_004,5246.10,3.13
scenario3,dataset_005,5338.89,3.03
scenario3,dataset_006,5777.22,3.54
scenario3,dataset_007,4747.33,2.85
scenario3,dataset_008,4931.32,3.07
scenario3,dataset_009,5586.50,3.34
scenario3,dataset_010,5883.04,3.49
scenario3,dataset_011,6581.82,3.55
scenario3,dataset_012,4970.32,2.92
scenario3,dataset_013,6232.88,3.07
scenario3,dataset_014,5104.89,2.86
scenario3,dataset_015,5805.80,3.70
scenario3,dataset_016,6142.89,3.30
scenario3,dataset_017,5838.81,3.10
scenario3,dataset_018,5715.61,2.82
scenario3,dataset_019,6439.05,3.26
scenario3,dataset_020,4903.02,3.29
scenario3,dataset_021,5813.65,3.71
scenario3,dataset_022,5504.19,3.55
scenario3,dataset_023,5264.27,3.46
scenario3,dataset_024,5384.97,2.94
scenario3,dataset_025,5178.16,2.82
scenario3,dataset_026,5638.97,3.15
scenario3,dataset_027,6187.21,3.85
scenario3,dataset_028,4714.12,3.33
scenario3,dataset_029,6140.76,3.81
scenario3,dataset_030,5122.55,3.02
scenario3,dataset_031,5660.24,3.78
scenario3,dataset_032,5403.95,3.96
scenario3,dataset_033,5347.21,3.08
scenario3,dataset_034,5213.27,3.12
scenario3,dataset_035,5638.41,3.33
scenario3,dataset_036,4944.43,3.21
scenario3,dataset_037,6578.77,3.64
scenario3,dataset_038,6382.12,3.26
scenario3,dataset_039,5682.19,3.02
scenario3,dataset_040,5401.91,3.02
scenario3,dataset_041,6540.53,3.04
scenario3,dataset_042,5131.75,3.08
scenario3,dataset_043,5819.64,3.42
scenario3,dataset_044,5798.14,3.08
scenario3,dataset_045,5415.39,3.33
scenario3,dataset_046,5174.78,2.97
scenario3,dataset_047,5219.90,3.25
scenario3,dataset_048,5787.86,2.80
scenario3,dataset_049,4791.01,3.13
scenario3,dataset_050,5404.31,2.95
scenario3,dataset_051,5373.72,2.99
scenario3,dataset_052,5076.44,2.98
scenario3,dataset_053,6289.44,3.91
scenario3,dataset_054,5544.59,2.92
scenario3,dataset_055,6746.95,4.41
scenario3,dataset_056,5909.04,3.24
scenario3,dataset_057,6296.95,3.59
scenario3,dataset_058,6623.37,3.84
scenario3,dataset_059,6666.08,3.12
scenario3,dataset_060,6540.34,3.24
scenario3,dataset_061,5203.23,3.18
scenario3,dataset_062,5558.07,3.69
scenario3,dataset_063,4952.69,2.91
scenario3,dataset_064,4699.74,2.83
scenario3,dataset_065,5209.94,2.82
scenario3,dataset_066,5816.27,3.14
scenario3,dataset_067,4910.45,3.15
scenario3,dataset_068,5218.22,3.05
scenario3,dataset_069,5832.80,2.99
scenario3,dataset_070,5678.92,3.50
scenario3,dataset_071,4956.81,2.87
scenario3,dataset_072,5685.39,2.88
scenario3,dataset_073,6596.65,4.01
scenario3,dataset_074,5609.72,3.87
scenario3,dataset_075,4921.17,3.15
scenario3,dataset_076,6428.92,3.69
scenario3,dataset_077,5249.62,3.24
scenario3,dataset_078,5842.36,2.94
scenario3,dataset_079,6115.63,4.25
scenario3,dataset_080,5023.07,2.85
scenario3,dataset_081,5059.57,3.03
scenario3,dataset_082,5340.01,3.98
scenario3,dataset_083,6154.59,4.09
scenario3,dataset_084,5177.69,3.10
scenario3,dataset_085,5685.68,3.08
scenario3,dataset_086,5798.44,2.88
scenario3,dataset_087,6376.13,3.43
scenario3,dataset_088,5357.63,3.02
scenario3,dataset_089,5219.65,2.84
scenario3,dataset_090,6333.55,2.84
scenario3,dataset_091,5791.36,3.22
scenario3,dataset_092,5274.18,3.18
scenario3,dataset_093,5381.26,3.41
scenario3,dataset_094,5795.91,3.88
scenario3,dataset_095,5264.63,2.99
scenario3,dataset_096,5932.36,3.55
scenario3,dataset_097,5964.81,3.36
scenario3,dataset_098,5582.65,2.95
scenario3,dataset_099,6951.90,3.50
scenario3,dataset_100,5569.33,3.20
