scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,4592.78,17.01
scenario3,dataset_002,4883.29,12.89
scenario3,dataset_003,6503.84,11.54
scenario3,dataset_004,4944.09,11.91
scenario3,dataset_005,5192.73,12.06
scenario3,dataset_006,5552.88,10.84
scenario3,dataset_007,4583.99,12.39
scenario3,dataset_008,4730.63,11.15
scenario3,dataset_009,5346.00,12.03
scenario3,dataset_010,5388.19,11.53
scenario3,dataset_011,6319.05,11.77
scenario3,dataset_012,4825.41,12.77
scenario3,dataset_013,5831.86,10.75
scenario3,dataset_014,4874.01,11.80
scenario3,dataset_015,5633.80,13.21
scenario3,dataset_016,5983.25,12.60
scenario3,dataset_017,5628.39,11.04
scenario3,dataset_018,5220.48,10.70
scenario3,dataset_019,6122.79,12.15
scenario3,dataset_020,4718.47,11.62
scenario3,dataset_021,5667.97,12.49
scenario3,dataset_022,5275.55,13.51
scenario3,dataset_023,5077.75,13.37
scenario3,dataset_024,5255.73,11.79
scenario3,dataset_025,4869.31,10.94
scenario3,dataset_026,5518.69,11.78
scenario3,dataset_027,5957.86,12.87
scenario3,dataset_028,4710.23,10.95
scenario3,dataset_029,6002.69,11.23
scenario3,dataset_030,5101.81,9.93
scenario3,dataset_031,5394.85,12.00
scenario3,dataset_032,5320.24,10.63
scenario3,dataset_033,5118.94,11.74
scenario3,dataset_034,5058.69,12.58
scenario3,dataset_035,5370.08,10.47
scenario3,dataset_036,4867.72,12.79
scenario3,dataset_037,6327.21,10.86
scenario3,dataset_038,6265.91,13.49
scenario3,dataset_039,5338.27,13.05
scenario3,dataset_040,5259.61,12.40
scenario3,dataset_041,6407.88,12.34
scenario3,dataset_042,5080.63,11.26
scenario3,dataset_043,5476.85,11.56
scenario3,dataset_044,5812.46,11.74
scenario3,dataset_045,5211.16,13.77
scenario3,dataset_046,4856.70,12.42
scenario3,dataset_047,4985.27,11.17
scenario3,dataset_048,5688.60,12.79
scenario3,dataset_049,4450.90,11.67
scenario3,dataset_050,5065.93,12.18
scenario3,dataset_051,5306.69,14.02
scenario3,dataset_052,4962.12,12.05
scenario3,dataset_053,6157.38,13.40
scenario3,dataset_054,5209.73,11.72
scenario3,dataset_055,6705.44,12.26
scenario3,dataset_056,5390.85,12.96
scenario3,dataset_057,5974.03,9.81
scenario3,dataset_058,6765.48,11.45
scenario3,dataset_059,6745.19,12.22
scenario3,dataset_060,6339.90,12.56
scenario3,dataset_061,4967.21,12.81
scenario3,dataset_062,5351.48,13.06
scenario3,dataset_063,4891.45,13.05
scenario3,dataset_064,4566.28,11.83
scenario3,dataset_065,5223.61,12.67
scenario3,dataset_066,5400.39,11.13
scenario3,dataset_067,4695.17,12.46
scenario3,dataset_068,4940.56,11.75
scenario3,dataset_069,5311.48,10.33
scenario3,dataset_070,5447.05,14.20
scenario3,dataset_071,4813.35,11.44
scenario3,dataset_072,5544.91,9.93
scenario3,dataset_073,6538.69,13.30
scenario3,dataset_074,5368.16,11.20
scenario3,dataset_075,4829.63,12.37
scenario3,dataset_076,6243.52,12.42
scenario3,dataset_077,5122.44,10.84
scenario3,dataset_078,5530.77,13.13
scenario3,dataset_079,5935.94,13.12
scenario3,dataset_080,4787.15,14.06
scenario3,dataset_081,4701.60,12.42
scenario3,dataset_082,5328.79,11.92
scenario3,dataset_083,5818.70,12.65
scenario3,dataset_084,4973.58,11.91
scenario3,dataset_085,5563.61,13.78
scenario3,dataset_086,5372.90,11.22
scenario3,dataset_087,6157.70,12.99
scenario3,dataset_088,5422.33,14.02
scenario3,dataset_089,5092.10,13.88
scenario3,dataset_090,5922.28,12.05
scenario3,dataset_091,5451.77,13.93
scenario3,dataset_092,5139.74,12.28
scenario3,dataset_093,5341.79,11.62
scenario3,dataset_094,5748.43,12.22
scenario3,dataset_095,5257.73,12.60
scenario3,dataset_096,5839.82,11.21
scenario3,dataset_097,5649.55,12.43
scenario3,dataset_098,5385.98,12.28
scenario3,dataset_099,6643.06,10.78
scenario3,dataset_100,5329.97,12.84
