scenario,dataset,total_distance_sum,total_time_ms_sum
scenario1,dataset_001,4616.744935,51.880291
scenario1,dataset_002,5002.861309,52.534916
scenario1,dataset_003,6741.481616,31.204042
scenario1,dataset_004,5296.236383,30.319833
scenario1,dataset_005,5286.488133,53.604208
scenario1,dataset_006,5864.196311,77.299500
scenario1,dataset_007,4795.328989,60.159958
scenario1,dataset_008,4958.637773,53.150334
scenario1,dataset_009,5902.260868,98.082583
scenario1,dataset_010,5747.244067,30.942375
scenario1,dataset_011,6684.440974,56.057708
scenario1,dataset_012,4914.535888,67.081375
scenario1,dataset_013,6067.740732,69.419250
scenario1,dataset_014,4973.416241,41.003541
scenario1,dataset_015,5978.245891,47.060875
scenario1,dataset_016,6165.998679,31.166666
scenario1,dataset_017,6037.785018,30.259625
scenario1,dataset_018,5609.322878,62.009834
scenario1,dataset_019,6507.835567,74.287750
scenario1,dataset_020,4888.968860,70.721416
scenario1,dataset_021,5860.849238,31.057333
scenario1,dataset_022,5552.792710,59.184000
scenario1,dataset_023,5301.643778,65.860125
scenario1,dataset_024,5661.950562,48.762750
scenario1,dataset_025,5147.750455,70.781250
scenario1,dataset_026,5660.049309,38.223666
scenario1,dataset_027,6367.822152,72.257625
scenario1,dataset_028,4785.269622,29.556666
scenario1,dataset_029,6552.883580,59.219417
scenario1,dataset_030,5133.630038,67.609375
scenario1,dataset_031,5527.348317,58.630041
scenario1,dataset_032,5545.527607,30.249209
scenario1,dataset_033,5516.344862,32.692125
scenario1,dataset_034,5168.714965,78.986792
scenario1,dataset_035,5496.997743,134.241083
scenario1,dataset_036,5055.939157,52.008333
scenario1,dataset_037,6551.170757,55.892334
scenario1,dataset_038,6505.040341,70.754667
scenario1,dataset_039,5687.908625,57.127458
scenario1,dataset_040,5492.164258,45.912375
scenario1,dataset_041,6487.636337,32.562792
scenario1,dataset_042,5268.287739,65.862583
scenario1,dataset_043,5892.743056,29.768000
scenario1,dataset_044,5937.327770,139.676833
scenario1,dataset_045,5491.707954,29.599000
scenario1,dataset_046,5053.101350,47.487750
scenario1,dataset_047,5409.122014,37.952125
scenario1,dataset_048,5896.435513,29.235125
scenario1,dataset_049,4714.177032,62.570083
scenario1,dataset_050,5507.284678,29.914875
scenario1,dataset_051,5415.237810,147.770583
scenario1,dataset_052,5148.842865,45.937750
scenario1,dataset_053,6152.348784,32.580833
scenario1,dataset_054,5642.543546,46.635916
scenario1,dataset_055,6668.190303,38.708291
scenario1,dataset_056,5610.798384,29.564250
scenario1,dataset_057,6269.371408,68.626834
scenario1,dataset_058,6881.261158,60.260250
scenario1,dataset_059,6683.639819,65.360292
scenario1,dataset_060,6713.920999,53.824041
scenario1,dataset_061,5098.040137,42.342333
scenario1,dataset_062,5616.080957,62.877917
scenario1,dataset_063,5041.134208,29.913667
scenario1,dataset_064,4608.473820,29.986500
scenario1,dataset_065,5372.294677,50.170042
scenario1,dataset_066,5649.490871,31.608750
scenario1,dataset_067,4843.188476,46.608750
scenario1,dataset_068,5006.798105,53.340291
scenario1,dataset_069,5494.213323,81.931541
scenario1,dataset_070,5797.774767,79.112375
scenario1,dataset_071,4985.539846,52.363833
scenario1,dataset_072,5908.332418,60.707750
scenario1,dataset_073,6748.357585,38.266792
scenario1,dataset_074,5468.931859,58.797625
scenario1,dataset_075,5054.884124,30.189375
scenario1,dataset_076,6592.768764,33.256209
scenario1,dataset_077,5131.673184,69.075292
scenario1,dataset_078,5854.526315,30.653042
scenario1,dataset_079,6044.452934,32.507750
scenario1,dataset_080,4953.183734,63.298208
scenario1,dataset_081,4937.360417,52.635375
scenario1,dataset_082,5429.576642,66.339083
scenario1,dataset_083,5879.348402,32.364167
scenario1,dataset_084,5200.587588,49.801958
scenario1,dataset_085,6060.241846,75.049666
scenario1,dataset_086,5940.671141,36.514291
scenario1,dataset_087,6597.157092,61.865750
scenario1,dataset_088,5455.941557,62.661666
scenario1,dataset_089,5158.345745,30.423709
scenario1,dataset_090,6108.154968,55.435667
scenario1,dataset_091,5887.567927,57.167666
scenario1,dataset_092,5214.773983,67.196208
scenario1,dataset_093,5500.029215,30.098500
scenario1,dataset_094,6047.952535,53.285791
scenario1,dataset_095,5441.217744,30.535625
scenario1,dataset_096,6103.911742,54.563375
scenario1,dataset_097,5979.648840,56.672333
scenario1,dataset_098,5865.934562,31.364791
scenario1,dataset_099,6834.817335,33.083083
scenario1,dataset_100,5598.286230,31.247667
