scenario,dataset,total_distance_sum,total_time_ms_sum
scenario1,dataset_001,4248.483586,383.018666
scenario1,dataset_002,4598.123467,398.962208
scenario1,dataset_003,6128.893024,444.732500
scenario1,dataset_004,4670.516938,402.420417
scenario1,dataset_005,4887.238980,303.728250
scenario1,dataset_006,5306.111974,410.026542
scenario1,dataset_007,4433.421957,375.589708
scenario1,dataset_008,4611.437400,406.654458
scenario1,dataset_009,5003.350649,300.341541
scenario1,dataset_010,5101.544698,302.316125
scenario1,dataset_011,5928.864670,350.519834
scenario1,dataset_012,4479.955842,263.546708
scenario1,dataset_013,5568.098783,294.125916
scenario1,dataset_014,4637.235404,316.875667
scenario1,dataset_015,5344.142100,401.440125
scenario1,dataset_016,5670.485990,313.958750
scenario1,dataset_017,5417.200148,177.378833
scenario1,dataset_018,5023.932563,258.216083
scenario1,dataset_019,5852.097068,304.352166
scenario1,dataset_020,4537.060701,304.670708
scenario1,dataset_021,5400.978057,361.666500
scenario1,dataset_022,4996.428536,266.420709
scenario1,dataset_023,4814.448877,287.889459
scenario1,dataset_024,4956.571842,307.994917
scenario1,dataset_025,4546.668965,254.183792
scenario1,dataset_026,5263.507097,326.878041
scenario1,dataset_027,5696.865834,250.868375
scenario1,dataset_028,4379.599934,408.436625
scenario1,dataset_029,5835.740489,338.004042
scenario1,dataset_030,4706.074007,308.501708
scenario1,dataset_031,5031.745773,340.036000
scenario1,dataset_032,5092.594757,336.226292
scenario1,dataset_033,4855.477281,308.340250
scenario1,dataset_034,4655.053146,335.462375
scenario1,dataset_035,5116.865271,450.570875
scenario1,dataset_036,4486.850375,329.571750
scenario1,dataset_037,5961.060998,458.224334
scenario1,dataset_038,5895.505727,465.040417
scenario1,dataset_039,4993.593173,454.316208
scenario1,dataset_040,4961.180188,356.537792
scenario1,dataset_041,5981.360718,468.964083
scenario1,dataset_042,4750.014436,234.878750
scenario1,dataset_043,5256.801708,262.177417
scenario1,dataset_044,5391.401284,347.173375
scenario1,dataset_045,4949.100298,524.187292
scenario1,dataset_046,4605.877715,314.059917
scenario1,dataset_047,4815.986134,321.625125
scenario1,dataset_048,5341.815737,414.072834
scenario1,dataset_049,4283.275975,235.360750
scenario1,dataset_050,4913.087266,292.967625
scenario1,dataset_051,4804.034455,251.742208
scenario1,dataset_052,4677.346888,320.074416
scenario1,dataset_053,5803.730840,297.159292
scenario1,dataset_054,5003.325448,358.439667
scenario1,dataset_055,6334.284191,484.540208
scenario1,dataset_056,5060.712135,174.858792
scenario1,dataset_057,5780.613563,264.820208
scenario1,dataset_058,6339.573644,366.121833
scenario1,dataset_059,6261.519708,207.619959
scenario1,dataset_060,6165.991406,316.329375
scenario1,dataset_061,4795.122518,341.602834
scenario1,dataset_062,5130.047826,393.483042
scenario1,dataset_063,4655.462046,354.134459
scenario1,dataset_064,4326.527011,323.993875
scenario1,dataset_065,4778.042415,284.567292
scenario1,dataset_066,5124.430207,281.063666
scenario1,dataset_067,4470.460658,310.850208
scenario1,dataset_068,4470.380135,553.021833
scenario1,dataset_069,5164.263006,297.317042
scenario1,dataset_070,4974.606641,275.626291
scenario1,dataset_071,4587.054305,354.600792
scenario1,dataset_072,5257.349580,349.812542
scenario1,dataset_073,6062.510993,175.437625
scenario1,dataset_074,5198.534204,316.493833
scenario1,dataset_075,4565.404277,450.393042
scenario1,dataset_076,5874.804052,373.012208
scenario1,dataset_077,4784.474639,283.223500
scenario1,dataset_078,5283.768399,387.301958
scenario1,dataset_079,5555.734697,299.860042
scenario1,dataset_080,4444.912479,234.215875
scenario1,dataset_081,4537.450723,383.353958
scenario1,dataset_082,4914.378193,343.054250
scenario1,dataset_083,5534.058257,297.847791
scenario1,dataset_084,4687.394728,272.764166
scenario1,dataset_085,5162.350549,334.067167
scenario1,dataset_086,4918.348774,436.305291
scenario1,dataset_087,5886.583628,371.027125
scenario1,dataset_088,4917.142036,413.514833
scenario1,dataset_089,4678.762976,189.922875
scenario1,dataset_090,5553.071234,309.289959
scenario1,dataset_091,5103.845540,344.826000
scenario1,dataset_092,4870.508441,397.119041
scenario1,dataset_093,5081.212555,374.451458
scenario1,dataset_094,5462.188899,383.753958
scenario1,dataset_095,4867.722454,266.601958
scenario1,dataset_096,5613.259067,250.286792
scenario1,dataset_097,5309.337224,337.649958
scenario1,dataset_098,5132.621859,178.504625
scenario1,dataset_099,6438.740809,336.470083
scenario1,dataset_100,5071.048449,393.937708
