scenario,dataset,total_distance_sum,total_time_ms_sum
scenario1,dataset_001,4347.88,2.31
scenario1,dataset_002,4680.89,2.30
scenario1,dataset_003,6226.05,3.16
scenario1,dataset_004,4771.72,2.76
scenario1,dataset_005,4957.30,3.09
scenario1,dataset_006,5381.03,3.54
scenario1,dataset_007,4484.60,3.27
scenario1,dataset_008,4684.14,3.67
scenario1,dataset_009,5070.08,3.75
scenario1,dataset_010,5214.76,4.57
scenario1,dataset_011,6034.56,6.69
scenario1,dataset_012,4610.25,3.45
scenario1,dataset_013,5657.54,6.37
scenario1,dataset_014,4716.60,1.63
scenario1,dataset_015,5412.67,4.55
scenario1,dataset_016,5697.38,3.57
scenario1,dataset_017,5483.57,3.21
scenario1,dataset_018,5112.31,3.88
scenario1,dataset_019,5967.67,6.49
scenario1,dataset_020,4606.60,5.07
scenario1,dataset_021,5525.87,1.91
scenario1,dataset_022,5088.28,4.38
scenario1,dataset_023,4883.18,5.07
scenario1,dataset_024,5012.25,3.48
scenario1,dataset_025,4717.16,8.26
scenario1,dataset_026,5374.25,6.77
scenario1,dataset_027,5859.27,5.89
scenario1,dataset_028,4447.63,7.43
scenario1,dataset_029,5932.45,5.07
scenario1,dataset_030,4756.07,3.91
scenario1,dataset_031,5141.24,4.69
scenario1,dataset_032,5174.40,5.86
scenario1,dataset_033,4909.03,4.65
scenario1,dataset_034,4790.51,3.43
scenario1,dataset_035,5316.88,5.70
scenario1,dataset_036,4514.04,4.83
scenario1,dataset_037,6126.83,7.55
scenario1,dataset_038,6041.07,6.97
scenario1,dataset_039,5077.60,5.42
scenario1,dataset_040,5102.48,3.41
scenario1,dataset_041,6110.74,3.95
scenario1,dataset_042,4847.92,2.76
scenario1,dataset_043,5423.37,3.63
scenario1,dataset_044,5443.37,1.64
scenario1,dataset_045,5039.72,2.89
scenario1,dataset_046,4701.86,2.02
scenario1,dataset_047,4933.24,2.45
scenario1,dataset_048,5475.29,2.11
scenario1,dataset_049,4428.01,2.43
scenario1,dataset_050,4967.43,2.12
scenario1,dataset_051,4938.10,2.92
scenario1,dataset_052,4716.85,4.10
scenario1,dataset_053,5925.41,4.05
scenario1,dataset_054,5081.05,1.60
scenario1,dataset_055,6423.69,2.54
scenario1,dataset_056,5252.47,4.02
scenario1,dataset_057,6028.18,4.23
scenario1,dataset_058,6439.97,2.31
scenario1,dataset_059,6337.04,3.92
scenario1,dataset_060,6294.56,5.46
scenario1,dataset_061,4844.70,3.76
scenario1,dataset_062,5192.48,7.59
scenario1,dataset_063,4766.12,5.13
scenario1,dataset_064,4489.40,6.03
scenario1,dataset_065,4874.43,5.18
scenario1,dataset_066,5256.05,5.77
scenario1,dataset_067,4556.17,5.21
scenario1,dataset_068,4519.20,6.89
scenario1,dataset_069,5306.96,2.84
scenario1,dataset_070,5158.68,4.96
scenario1,dataset_071,4685.83,5.26
scenario1,dataset_072,5334.85,5.56
scenario1,dataset_073,6136.69,7.18
scenario1,dataset_074,5324.76,6.51
scenario1,dataset_075,4699.94,5.54
scenario1,dataset_076,5954.81,4.92
scenario1,dataset_077,4818.86,3.81
scenario1,dataset_078,5384.09,4.88
scenario1,dataset_079,5682.90,8.23
scenario1,dataset_080,4517.14,2.76
scenario1,dataset_081,4735.53,1.89
scenario1,dataset_082,5104.00,2.25
scenario1,dataset_083,5630.70,2.44
scenario1,dataset_084,4778.66,1.79
scenario1,dataset_085,5260.07,2.00
scenario1,dataset_086,5046.33,1.65
scenario1,dataset_087,6032.72,2.24
scenario1,dataset_088,5017.72,1.69
scenario1,dataset_089,4767.33,1.63
scenario1,dataset_090,5654.14,1.68
scenario1,dataset_091,5255.52,1.93
scenario1,dataset_092,5034.43,2.00
scenario1,dataset_093,5153.33,1.99
scenario1,dataset_094,5506.29,2.29
scenario1,dataset_095,4946.74,1.83
scenario1,dataset_096,5700.74,2.10
scenario1,dataset_097,5455.79,2.01
scenario1,dataset_098,5282.03,1.84
scenario1,dataset_099,6627.52,2.27
scenario1,dataset_100,5088.82,1.94
