scenario,dataset,total_distance_sum,total_time_ms_sum
scenario2,dataset_001,4408.80,13.17
scenario2,dataset_002,4973.26,15.20
scenario2,dataset_003,6188.48,11.75
scenario2,dataset_004,4775.83,13.83
scenario2,dataset_005,4976.92,11.48
scenario2,dataset_006,5607.23,13.10
scenario2,dataset_007,4509.58,12.85
scenario2,dataset_008,4646.99,12.43
scenario2,dataset_009,5071.27,13.55
scenario2,dataset_010,5315.90,11.72
scenario2,dataset_011,5993.54,11.27
scenario2,dataset_012,4609.54,12.81
scenario2,dataset_013,5556.92,11.75
scenario2,dataset_014,4842.24,12.17
scenario2,dataset_015,5437.58,13.90
scenario2,dataset_016,5857.94,14.12
scenario2,dataset_017,5558.40,12.93
scenario2,dataset_018,5106.77,11.88
scenario2,dataset_019,5922.54,10.90
scenario2,dataset_020,4562.20,11.68
scenario2,dataset_021,5479.74,12.72
scenario2,dataset_022,4968.12,12.04
scenario2,dataset_023,4866.30,12.47
scenario2,dataset_024,5151.68,13.68
scenario2,dataset_025,4673.64,12.60
scenario2,dataset_026,5338.00,13.89
scenario2,dataset_027,5720.31,12.19
scenario2,dataset_028,4509.56,12.25
scenario2,dataset_029,5875.37,14.70
scenario2,dataset_030,4873.49,14.73
scenario2,dataset_031,5127.95,12.93
scenario2,dataset_032,5204.09,11.20
scenario2,dataset_033,4951.96,13.54
scenario2,dataset_034,4963.37,12.13
scenario2,dataset_035,5178.62,12.94
scenario2,dataset_036,4628.82,10.84
scenario2,dataset_037,6009.61,12.66
scenario2,dataset_038,5951.39,12.23
scenario2,dataset_039,5016.10,12.12
scenario2,dataset_040,4855.22,12.40
scenario2,dataset_041,6018.53,12.36
scenario2,dataset_042,4776.72,12.41
scenario2,dataset_043,5265.84,11.68
scenario2,dataset_044,5439.78,13.15
scenario2,dataset_045,4983.45,13.39
scenario2,dataset_046,4772.37,12.00
scenario2,dataset_047,4897.43,14.13
scenario2,dataset_048,5595.19,12.89
scenario2,dataset_049,4348.06,11.48
scenario2,dataset_050,4930.31,13.68
scenario2,dataset_051,4857.22,13.18
scenario2,dataset_052,4895.83,11.05
scenario2,dataset_053,5918.14,12.78
scenario2,dataset_054,5330.12,12.18
scenario2,dataset_055,6529.94,11.66
scenario2,dataset_056,5193.58,12.24
scenario2,dataset_057,5978.97,12.20
scenario2,dataset_058,6340.57,12.76
scenario2,dataset_059,6347.20,12.17
scenario2,dataset_060,6249.64,11.22
scenario2,dataset_061,4837.13,12.43
scenario2,dataset_062,5415.92,13.46
scenario2,dataset_063,4643.89,12.03
scenario2,dataset_064,4514.50,11.28
scenario2,dataset_065,4843.48,13.53
scenario2,dataset_066,5267.67,12.25
scenario2,dataset_067,4798.20,12.19
scenario2,dataset_068,4693.97,12.72
scenario2,dataset_069,5232.37,11.65
scenario2,dataset_070,5059.34,14.25
scenario2,dataset_071,4725.03,12.87
scenario2,dataset_072,5327.44,12.21
scenario2,dataset_073,6130.90,13.42
scenario2,dataset_074,5257.16,13.30
scenario2,dataset_075,4617.76,12.16
scenario2,dataset_076,6038.37,13.43
scenario2,dataset_077,4845.80,11.59
scenario2,dataset_078,5492.01,13.05
scenario2,dataset_079,5570.97,11.40
scenario2,dataset_080,4777.51,14.44
scenario2,dataset_081,4625.77,12.61
scenario2,dataset_082,5187.66,11.16
scenario2,dataset_083,5517.34,12.70
scenario2,dataset_084,4932.97,13.08
scenario2,dataset_085,5421.39,14.03
scenario2,dataset_086,5177.58,13.18
scenario2,dataset_087,5961.87,14.61
scenario2,dataset_088,5177.08,12.24
scenario2,dataset_089,4875.76,12.71
scenario2,dataset_090,5776.41,11.29
scenario2,dataset_091,5138.75,11.92
scenario2,dataset_092,4871.49,10.71
scenario2,dataset_093,5263.65,12.76
scenario2,dataset_094,5725.25,11.71
scenario2,dataset_095,5107.33,12.42
scenario2,dataset_096,5680.43,12.86
scenario2,dataset_097,5446.46,12.23
scenario2,dataset_098,5151.28,12.75
scenario2,dataset_099,6487.93,11.73
scenario2,dataset_100,5391.02,13.80
