capacity,total_cost,mean_cost,total_time_ms,n_datasets,status,capacity_valid
30,0.0000,0.0000,516.3616,100,ok,false
50,0.0000,0.0000,558.9823,100,ok,false
90,0.0000,0.0000,930.0084,100,ok,false
150,530488.0362,5304.8804,32613.0766,100,ok,false
200,512858.7763,5128.5878,44110.7169,100,ok,true
250,512858.7763,5128.5878,31155.5208,100,ok,true
300,512858.7763,5128.5878,31195.6060,100,ok,true
350,512858.7763,5128.5878,33369.9797,100,ok,true
400,512858.7763,5128.5878,31326.4358,100,ok,true
500,512858.7763,5128.5878,32974.0652,100,ok,true
