capacity,total_cost,mean_cost,total_time_ms,n_datasets,status,capacity_valid
30,0.0000,0.0000,343.7015,100,ok,false
50,0.0000,0.0000,620.8818,100,ok,false
90,0.0000,0.0000,861.0538,100,ok,false
150,565967.2133,5659.6721,5286.4653,100,ok,false
200,537178.6610,5371.7866,5672.1691,100,ok,true
250,537178.6610,5371.7866,4524.6737,100,ok,true
300,537178.6610,5371.7866,4501.4417,100,ok,true
350,537178.6610,5371.7866,4518.8431,100,ok,true
400,537178.6610,5371.7866,4516.1337,100,ok,true
500,537178.6610,5371.7866,4480.6964,100,ok,true
