capacity,total_cost,mean_cost,total_time_ms,n_datasets,status,capacity_valid
30,523400.3200,5234.0032,310.1200,100,ok,false
50,523657.1700,5236.5717,310.5900,100,ok,false
90,525029.1100,5250.2911,315.9300,100,ok,false
150,505546.4500,5055.4645,364.5300,100,ok,false
200,462375.4100,4623.7541,363.8500,100,ok,true
250,414685.5900,4146.8559,612.4200,100,ok,true
300,378946.4100,3789.4641,562.4700,100,ok,true
350,366807.7300,3668.0773,539.1700,100,ok,true
400,366384.9300,3663.8493,604.1100,100,ok,true
500,366384.9300,3663.8493,341.7100,100,ok,true
