capacity,total_cost,mean_cost,total_time_ms,n_datasets,status,capacity_valid
30,862414.5700,8624.1457,80.6500,100,ok,true
50,843264.1500,8432.6415,112.5500,100,ok,true
90,755753.7700,7557.5377,329.6100,100,ok,true
150,542878.9000,5428.7890,936.3600,100,ok,true
200,518751.5400,5187.5154,1096.9000,100,ok,true
250,518751.5400,5187.5154,1134.6400,100,ok,true
300,518751.5400,5187.5154,1082.0400,100,ok,true
350,518751.5400,5187.5154,1136.3100,100,ok,true
400,518751.5400,5187.5154,1106.5700,100,ok,true
500,518751.5400,5187.5154,1005.1600,100,ok,true
