scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,33123.699011,30907.824333
scenario3,dataset_002,37192.548735,31651.676458
scenario3,dataset_003,40954.393898,31598.111875
scenario3,dataset_004,39207.312217,32513.885583
scenario3,dataset_005,43205.497787,33301.559667
scenario3,dataset_006,32786.083487,31346.473209
scenario3,dataset_007,33536.176847,30766.998791
scenario3,dataset_008,34358.970719,31436.840333
scenario3,dataset_009,31488.153605,30373.083292
scenario3,dataset_010,34041.398642,31505.608750
scenario3,dataset_011,31982.127880,30922.012667
scenario3,dataset_012,31857.127980,31827.887500
scenario3,dataset_013,33637.528437,30890.369125
scenario3,dataset_014,32053.073749,30810.302292
scenario3,dataset_015,32036.224768,32072.631666
scenario3,dataset_016,33110.895718,31621.274125
scenario3,dataset_017,30954.320776,31835.351458
scenario3,dataset_018,33724.662030,32646.314667
scenario3,dataset_019,35429.183345,32798.742291
scenario3,dataset_020,31412.841489,33096.175542
scenario3,dataset_021,37100.844878,33558.761334
scenario3,dataset_022,34839.720514,32505.636250
scenario3,dataset_023,30766.140919,33196.406833
scenario3,dataset_024,31593.503268,32113.730542
scenario3,dataset_025,35826.277830,33936.978250
scenario3,dataset_026,36172.183346,33587.521958
scenario3,dataset_027,36419.308624,32924.249083
scenario3,dataset_028,32217.821798,31852.083083
scenario3,dataset_029,33411.018680,30931.615667
scenario3,dataset_030,34578.258314,32261.414500
scenario3,dataset_031,33395.766372,33195.639666
scenario3,dataset_032,33636.825132,32254.662417
scenario3,dataset_033,31567.794968,31882.384333
scenario3,dataset_034,32524.020473,32008.123500
scenario3,dataset_035,38893.975799,34078.286459
scenario3,dataset_036,32373.990789,32542.873041
scenario3,dataset_037,32391.671300,31925.843625
scenario3,dataset_038,48811.825840,34967.487417
scenario3,dataset_039,35058.484544,32497.913292
scenario3,dataset_040,34691.303709,31715.120625
scenario3,dataset_041,34581.019123,31612.447167
scenario3,dataset_042,34279.178036,32471.647959
scenario3,dataset_043,32163.469178,26106.666708
scenario3,dataset_044,32093.605007,24859.466166
scenario3,dataset_045,34845.538698,24867.618625
scenario3,dataset_046,36433.517808,25231.763333
scenario3,dataset_047,31730.040752,25217.450833
scenario3,dataset_048,28978.022241,24626.189208
scenario3,dataset_049,34725.697576,24849.654792
scenario3,dataset_050,35782.083915,25324.449833
