scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,32330.75,70.74
scenario3,dataset_002,35645.19,79.59
scenario3,dataset_003,39611.60,124.16
scenario3,dataset_004,38284.26,136.69
scenario3,dataset_005,41956.91,100.03
scenario3,dataset_006,31761.70,82.04
scenario3,dataset_007,32465.86,81.86
scenario3,dataset_008,33275.21,77.84
scenario3,dataset_009,30154.53,77.40
scenario3,dataset_010,33277.19,73.89
scenario3,dataset_011,31148.05,76.56
scenario3,dataset_012,30873.57,80.82
scenario3,dataset_013,32541.36,82.17
scenario3,dataset_014,31296.60,74.36
scenario3,dataset_015,30927.53,78.18
scenario3,dataset_016,32185.72,80.30
scenario3,dataset_017,29664.01,82.25
scenario3,dataset_018,32525.51,87.73
scenario3,dataset_019,34305.93,80.06
scenario3,dataset_020,30395.22,77.24
scenario3,dataset_021,35986.22,91.41
scenario3,dataset_022,33498.09,97.81
scenario3,dataset_023,29622.03,68.73
scenario3,dataset_024,30122.59,79.41
scenario3,dataset_025,34577.83,90.70
scenario3,dataset_026,35262.62,73.18
scenario3,dataset_027,34904.33,92.80
scenario3,dataset_028,31265.30,72.83
scenario3,dataset_029,32490.26,86.30
scenario3,dataset_030,33489.30,74.69
scenario3,dataset_031,32587.37,91.35
scenario3,dataset_032,32878.78,79.79
scenario3,dataset_033,30575.20,82.72
scenario3,dataset_034,31275.35,80.52
scenario3,dataset_035,37319.23,97.17
scenario3,dataset_036,31298.76,92.12
scenario3,dataset_037,31263.14,72.50
scenario3,dataset_038,47460.65,99.86
scenario3,dataset_039,33171.76,76.70
scenario3,dataset_040,33290.97,80.83
scenario3,dataset_041,32918.77,75.62
scenario3,dataset_042,32995.30,78.45
scenario3,dataset_043,31037.08,66.00
scenario3,dataset_044,30959.13,73.51
scenario3,dataset_045,33946.10,84.40
scenario3,dataset_046,35338.32,96.30
scenario3,dataset_047,30777.17,79.77
scenario3,dataset_048,27744.24,76.33
scenario3,dataset_049,33579.99,74.15
scenario3,dataset_050,34488.08,76.68
