scenario,dataset,total_distance_sum,total_time_ms_sum
scenario1,dataset_001,31509.85,1283.79
scenario1,dataset_002,35075.04,1102.98
scenario1,dataset_003,38889.45,1124.05
scenario1,dataset_004,37490.49,1237.80
scenario1,dataset_005,41220.86,1132.22
scenario1,dataset_006,31007.82,1292.01
scenario1,dataset_007,31774.13,1047.73
scenario1,dataset_008,32559.31,1032.35
scenario1,dataset_009,29220.01,1089.23
scenario1,dataset_010,32789.78,1083.81
scenario1,dataset_011,30537.00,1385.13
scenario1,dataset_012,30254.72,1030.20
scenario1,dataset_013,31886.47,1162.16
scenario1,dataset_014,30474.16,1117.74
scenario1,dataset_015,30274.49,1133.39
scenario1,dataset_016,31537.50,1081.30
scenario1,dataset_017,28859.85,1061.11
scenario1,dataset_018,31793.40,1234.30
scenario1,dataset_019,33554.68,1171.86
scenario1,dataset_020,29582.57,1373.76
scenario1,dataset_021,35512.00,1130.83
scenario1,dataset_022,32697.87,1247.97
scenario1,dataset_023,28791.82,1075.53
scenario1,dataset_024,29436.65,1118.75
scenario1,dataset_025,33882.31,1341.27
scenario1,dataset_026,34614.61,1145.49
scenario1,dataset_027,34030.60,1360.22
scenario1,dataset_028,30615.41,1121.64
scenario1,dataset_029,31830.18,1010.57
scenario1,dataset_030,32805.10,1069.14
scenario1,dataset_031,31912.54,1091.79
scenario1,dataset_032,32161.97,1212.52
scenario1,dataset_033,29891.87,1190.97
scenario1,dataset_034,30591.10,1379.33
scenario1,dataset_035,36692.97,1267.75
scenario1,dataset_036,30591.90,1161.37
scenario1,dataset_037,30471.77,1192.53
scenario1,dataset_038,46704.30,1234.88
scenario1,dataset_039,32486.93,1282.65
scenario1,dataset_040,32444.67,1163.25
scenario1,dataset_041,32128.72,1186.18
scenario1,dataset_042,32509.83,1216.36
scenario1,dataset_043,30391.00,1151.94
scenario1,dataset_044,30412.97,1243.49
scenario1,dataset_045,33213.12,1077.29
scenario1,dataset_046,34599.63,1124.09
scenario1,dataset_047,30143.76,1090.16
scenario1,dataset_048,27169.72,1036.23
scenario1,dataset_049,32817.17,1316.18
scenario1,dataset_050,33784.11,1179.64
