scenario,test_name,total_distance,runtime_ms,tours
"scenario3","dataset_001/depot_8_route_1",16.124515,6.285953,"[7, 30]"
"scenario3","dataset_001/depot_4_route_2",47.074409,6.285953,"[3, 44]"
"scenario3","dataset_001/depot_3_route_3",23.323808,6.285953,"[2, 47]"
"scenario3","dataset_001/depot_3_route_4",36.055513,6.285953,"[2, 63]"
"scenario3","dataset_001/depot_3_route_5",36.769553,6.285953,"[2, 64]"
"scenario3","dataset_001/depot_10_route_6",6.000000,6.285953,"[9, 76]"
"scenario3","dataset_001/depot_7_route_7",7.211103,6.285953,"[6, 78]"
"scenario3","dataset_001/depot_8_route_8",21.540659,6.285953,"[7, 86]"
"scenario3","dataset_001/depot_7_route_9",32.062439,6.285953,"[6, 87]"
"scenario3","dataset_001/depot_3_route_10",18.439089,6.285953,"[2, 98]"
"scenario3","dataset_001/depot_6_route_11",37.223954,6.285953,"[5, 10, 97]"
"scenario3","dataset_001/depot_2_route_12",94.397529,6.285953,"[1, 11, 94]"
"scenario3","dataset_001/depot_5_route_13",134.888988,6.285953,"[4, 12, 50]"
"scenario3","dataset_001/depot_8_route_14",85.649282,6.285953,"[7, 13, 45]"
"scenario3","dataset_001/depot_3_route_15",121.185938,6.285953,"[2, 14, 33]"
"scenario3","dataset_001/depot_5_route_16",82.076014,6.285953,"[4, 15, 79]"
"scenario3","dataset_001/depot_5_route_17",95.435891,6.285953,"[4, 16, 84]"
"scenario3","dataset_001/depot_4_route_18",45.189161,6.285953,"[3, 17, 74]"
"scenario3","dataset_001/depot_7_route_19",95.069077,6.285953,"[6, 18, 95]"
"scenario3","dataset_001/depot_9_route_20",61.436209,6.285953,"[8, 19, 104]"
"scenario3","dataset_001/depot_4_route_21",78.445037,6.285953,"[3, 20, 58]"
"scenario3","dataset_001/depot_5_route_22",64.457206,6.285953,"[4, 21, 56]"
"scenario3","dataset_001/depot_6_route_23",39.391101,6.285953,"[5, 22, 43]"
"scenario3","dataset_001/depot_1_route_24",132.024265,6.285953,"[0, 23, 105]"
"scenario3","dataset_001/depot_10_route_25",146.075200,6.285953,"[9, 24, 54]"
"scenario3","dataset_001/depot_9_route_26",84.111447,6.285953,"[8, 25, 71]"
"scenario3","dataset_001/depot_8_route_27",80.424950,6.285953,"[7, 26, 41]"
"scenario3","dataset_001/depot_1_route_28",49.046444,6.285953,"[0, 27, 91]"
"scenario3","dataset_001/depot_9_route_29",112.491539,6.285953,"[8, 28, 38]"
"scenario3","dataset_001/depot_9_route_30",115.947722,6.285953,"[8, 29, 32]"
"scenario3","dataset_001/depot_8_route_31",76.935395,6.285953,"[7, 31, 72]"
"scenario3","dataset_001/depot_1_route_32",224.656058,6.285953,"[0, 34, 40]"
"scenario3","dataset_001/depot_9_route_33",109.274154,6.285953,"[8, 35, 83]"
"scenario3","dataset_001/depot_8_route_34",120.832008,6.285953,"[7, 36, 57]"
"scenario3","dataset_001/depot_9_route_35",93.371305,6.285953,"[8, 37, 69]"
"scenario3","dataset_001/depot_3_route_36",147.489537,6.285953,"[2, 39, 103]"
"scenario3","dataset_001/depot_7_route_37",110.314018,6.285953,"[6, 42, 70]"
"scenario3","dataset_001/depot_10_route_38",49.674491,6.285953,"[9, 46, 96]"
"scenario3","dataset_001/depot_4_route_39",57.506710,6.285953,"[3, 48, 49]"
"scenario3","dataset_001/depot_3_route_40",94.040815,6.285953,"[2, 51, 81]"
"scenario3","dataset_001/depot_8_route_41",62.997199,6.285953,"[7, 52, 73]"
"scenario3","dataset_001/depot_4_route_42",117.356763,6.285953,"[3, 53, 101]"
"scenario3","dataset_001/depot_9_route_43",39.055884,6.285953,"[8, 55, 77]"
"scenario3","dataset_001/depot_5_route_44",66.116871,6.285953,"[4, 59, 82]"
"scenario3","dataset_001/depot_2_route_45",57.169714,6.285953,"[1, 60, 62]"
"scenario3","dataset_001/depot_5_route_46",106.138631,6.285953,"[4, 61, 106]"
"scenario3","dataset_001/depot_5_route_47",88.074064,6.285953,"[4, 65, 85]"
"scenario3","dataset_001/depot_5_route_48",169.415051,6.285953,"[4, 66, 99]"
"scenario3","dataset_001/depot_10_route_49",78.290692,6.285953,"[9, 67, 88]"
"scenario3","dataset_001/depot_5_route_50",91.404812,6.285953,"[4, 68, 102]"
"scenario3","dataset_001/depot_8_route_51",98.079537,6.285953,"[7, 75, 90]"
"scenario3","dataset_001/depot_3_route_52",89.332279,6.285953,"[2, 80, 93]"
"scenario3","dataset_001/depot_8_route_53",66.054392,6.285953,"[7, 89, 92]"
"scenario3","dataset_001/depot_2_route_54",97.890257,6.285953,"[1, 100, 108]"
"scenario3","dataset_001/depot_9_route_55",64.082842,6.285953,"[8, 107, 109]"
"scenario3","dataset_002/depot_5_route_1",18.973666,5.594695,"[4, 31]"
"scenario3","dataset_002/depot_4_route_2",2.828427,5.594695,"[3, 54]"
"scenario3","dataset_002/depot_7_route_3",48.166378,5.594695,"[6, 60]"
"scenario3","dataset_002/depot_8_route_4",77.665951,5.594695,"[7, 80]"
"scenario3","dataset_002/depot_1_route_5",17.888544,5.594695,"[0, 81]"
"scenario3","dataset_002/depot_5_route_6",23.409400,5.594695,"[4, 99]"
"scenario3","dataset_002/depot_2_route_7",88.690581,5.594695,"[1, 10, 84]"
"scenario3","dataset_002/depot_1_route_8",48.314805,5.594695,"[0, 11, 78]"
"scenario3","dataset_002/depot_5_route_9",116.216771,5.594695,"[4, 12, 83]"
"scenario3","dataset_002/depot_9_route_10",69.653139,5.594695,"[8, 13, 26]"
"scenario3","dataset_002/depot_8_route_11",53.689872,5.594695,"[7, 14, 38]"
"scenario3","dataset_002/depot_4_route_12",35.098592,5.594695,"[3, 15, 105]"
"scenario3","dataset_002/depot_8_route_13",41.866152,5.594695,"[7, 16, 82]"
"scenario3","dataset_002/depot_3_route_14",77.388041,5.594695,"[2, 17, 24]"
"scenario3","dataset_002/depot_2_route_15",149.880766,5.594695,"[1, 18, 95]"
"scenario3","dataset_002/depot_10_route_16",68.005764,5.594695,"[9, 19, 94]"
"scenario3","dataset_002/depot_9_route_17",96.663213,5.594695,"[8, 20, 79]"
"scenario3","dataset_002/depot_3_route_18",17.307298,5.594695,"[2, 21, 42]"
"scenario3","dataset_002/depot_3_route_19",258.980613,5.594695,"[2, 22, 43]"
"scenario3","dataset_002/depot_6_route_20",108.820324,5.594695,"[5, 23, 97]"
"scenario3","dataset_002/depot_1_route_21",75.871511,5.594695,"[0, 25, 93]"
"scenario3","dataset_002/depot_4_route_22",54.261452,5.594695,"[3, 27, 66]"
"scenario3","dataset_002/depot_9_route_23",57.398350,5.594695,"[8, 28, 37]"
"scenario3","dataset_002/depot_2_route_24",143.826504,5.594695,"[1, 29, 50]"
"scenario3","dataset_002/depot_8_route_25",96.492349,5.594695,"[7, 30, 48]"
"scenario3","dataset_002/depot_8_route_26",78.000000,5.594695,"[7, 32, 106]"
"scenario3","dataset_002/depot_1_route_27",78.942169,5.594695,"[0, 33, 70]"
"scenario3","dataset_002/depot_2_route_28",128.657577,5.594695,"[1, 34, 88]"
"scenario3","dataset_002/depot_3_route_29",123.515484,5.594695,"[2, 35, 104]"
"scenario3","dataset_002/depot_6_route_30",104.562873,5.594695,"[5, 36, 45]"
"scenario3","dataset_002/depot_3_route_31",57.244665,5.594695,"[2, 39, 101]"
"scenario3","dataset_002/depot_2_route_32",111.534358,5.594695,"[1, 40, 52]"
"scenario3","dataset_002/depot_2_route_33",31.962386,5.594695,"[1, 41, 87]"
"scenario3","dataset_002/depot_2_route_34",87.313145,5.594695,"[1, 44, 107]"
"scenario3","dataset_002/depot_3_route_35",85.718009,5.594695,"[2, 46, 47]"
"scenario3","dataset_002/depot_3_route_36",151.954801,5.594695,"[2, 49, 103]"
"scenario3","dataset_002/depot_6_route_37",178.447549,5.594695,"[5, 51, 100]"
"scenario3","dataset_002/depot_9_route_38",109.622196,5.594695,"[8, 53, 65]"
"scenario3","dataset_002/depot_6_route_39",119.265267,5.594695,"[5, 55, 72]"
"scenario3","dataset_002/depot_1_route_40",119.644507,5.594695,"[0, 56, 67]"
"scenario3","dataset_002/depot_10_route_41",104.261569,5.594695,"[9, 57, 89]"
"scenario3","dataset_002/depot_8_route_42",35.869050,5.594695,"[7, 58, 86]"
"scenario3","dataset_002/depot_1_route_43",98.431497,5.594695,"[0, 59, 76]"
"scenario3","dataset_002/depot_5_route_44",130.343620,5.594695,"[4, 61, 71]"
"scenario3","dataset_002/depot_8_route_45",90.908478,5.594695,"[7, 62, 63]"
"scenario3","dataset_002/depot_7_route_46",75.996610,5.594695,"[6, 64, 90]"
"scenario3","dataset_002/depot_8_route_47",153.986963,5.594695,"[7, 68, 92]"
"scenario3","dataset_002/depot_3_route_48",152.221035,5.594695,"[2, 69, 109]"
"scenario3","dataset_002/depot_3_route_49",80.591491,5.594695,"[2, 73, 77]"
"scenario3","dataset_002/depot_9_route_50",106.558684,5.594695,"[8, 74, 102]"
"scenario3","dataset_002/depot_9_route_51",99.529661,5.594695,"[8, 75, 96]"
"scenario3","dataset_002/depot_6_route_52",130.410739,5.594695,"[5, 85, 108]"
"scenario3","dataset_002/depot_10_route_53",78.572757,5.594695,"[9, 91, 98]"
"scenario3","dataset_003/depot_5_route_1",34.928498,4.344783,"[4, 12]"
"scenario3","dataset_003/depot_1_route_2",53.851648,4.344783,"[0, 38]"
"scenario3","dataset_003/depot_10_route_3",11.661904,4.344783,"[9, 46]"
"scenario3","dataset_003/depot_5_route_4",35.440090,4.344783,"[4, 61]"
"scenario3","dataset_003/depot_5_route_5",37.363083,4.344783,"[4, 76]"
"scenario3","dataset_003/depot_5_route_6",17.088007,4.344783,"[4, 95]"
"scenario3","dataset_003/depot_1_route_7",88.993753,4.344783,"[0, 10, 54]"
"scenario3","dataset_003/depot_6_route_8",154.361296,4.344783,"[5, 11, 108]"
"scenario3","dataset_003/depot_9_route_9",201.357173,4.344783,"[8, 13, 65]"
"scenario3","dataset_003/depot_3_route_10",135.505461,4.344783,"[2, 14, 60]"
"scenario3","dataset_003/depot_9_route_11",100.593608,4.344783,"[8, 15, 86]"
"scenario3","dataset_003/depot_9_route_12",213.129413,4.344783,"[8, 16, 31]"
"scenario3","dataset_003/depot_9_route_13",160.447065,4.344783,"[8, 17, 81]"
"scenario3","dataset_003/depot_9_route_14",174.988719,4.344783,"[8, 18, 62]"
"scenario3","dataset_003/depot_9_route_15",113.661482,4.344783,"[8, 19, 35]"
"scenario3","dataset_003/depot_4_route_16",279.336341,4.344783,"[3, 20, 66]"
"scenario3","dataset_003/depot_4_route_17",245.046416,4.344783,"[3, 21, 53]"
"scenario3","dataset_003/depot_6_route_18",128.389174,4.344783,"[5, 22, 88]"
"scenario3","dataset_003/depot_3_route_19",94.183286,4.344783,"[2, 23, 93]"
"scenario3","dataset_003/depot_6_route_20",173.355105,4.344783,"[5, 24, 73]"
"scenario3","dataset_003/depot_9_route_21",233.830347,4.344783,"[8, 25, 97]"
"scenario3","dataset_003/depot_9_route_22",106.264022,4.344783,"[8, 26, 50]"
"scenario3","dataset_003/depot_7_route_23",69.017299,4.344783,"[6, 27, 42]"
"scenario3","dataset_003/depot_4_route_24",75.117837,4.344783,"[3, 28, 37]"
"scenario3","dataset_003/depot_3_route_25",115.142280,4.344783,"[2, 29, 55]"
"scenario3","dataset_003/depot_4_route_26",80.019410,4.344783,"[3, 30, 103]"
"scenario3","dataset_003/depot_4_route_27",174.646508,4.344783,"[3, 32, 72]"
"scenario3","dataset_003/depot_8_route_28",154.422623,4.344783,"[7, 33, 34]"
"scenario3","dataset_003/depot_9_route_29",77.503585,4.344783,"[8, 36, 109]"
"scenario3","dataset_003/depot_9_route_30",268.476506,4.344783,"[8, 39, 83]"
"scenario3","dataset_003/depot_3_route_31",86.630460,4.344783,"[2, 40, 75]"
"scenario3","dataset_003/depot_3_route_32",111.497073,4.344783,"[2, 41, 101]"
"scenario3","dataset_003/depot_9_route_33",155.707927,4.344783,"[8, 43, 105]"
"scenario3","dataset_003/depot_1_route_34",114.992603,4.344783,"[0, 44, 100]"
"scenario3","dataset_003/depot_7_route_35",65.949110,4.344783,"[6, 45, 74]"
"scenario3","dataset_003/depot_4_route_36",198.121043,4.344783,"[3, 47, 56]"
"scenario3","dataset_003/depot_9_route_37",68.904233,4.344783,"[8, 48, 80]"
"scenario3","dataset_003/depot_9_route_38",212.544302,4.344783,"[8, 49, 78]"
