scenario,test_name,total_distance,runtime_ms,tours
"scenario2","depot_1_route_1",11.661904,545.394402,"[0, 45]"
"scenario2","depot_6_route_2",27.202941,545.394402,"[5, 69]"
"scenario2","depot_8_route_3",28.071338,545.394402,"[7, 99]"
"scenario2","depot_4_route_4",157.491315,545.394402,"[3, 38, 75]"
"scenario2","depot_9_route_5",43.054036,545.394402,"[8, 39, 55]"
"scenario2","depot_1_route_6",92.240897,545.394402,"[0, 44, 52]"
"scenario2","depot_5_route_7",100.165560,545.394402,"[4, 60, 64]"
"scenario2","depot_5_route_8",73.008075,545.394402,"[4, 61, 80]"
"scenario2","depot_4_route_9",57.753563,545.394402,"[3, 65, 95]"
"scenario2","depot_5_route_10",45.129059,545.394402,"[4, 76, 100]"
"scenario2","depot_7_route_11",81.706714,545.394402,"[6, 89, 98]"
"scenario2","depot_4_route_12",67.717905,545.394402,"[3, 10, 37, 18]"
"scenario2","depot_5_route_13",75.326897,545.394402,"[4, 22, 17, 101]"
"scenario2","depot_3_route_14",162.431435,545.394402,"[2, 20, 62, 41]"
"scenario2","depot_8_route_15",86.030543,545.394402,"[7, 23, 78, 51]"
"scenario2","depot_7_route_16",156.948423,545.394402,"[6, 25, 63, 67]"
"scenario2","depot_1_route_17",152.486883,545.394402,"[0, 26, 43, 71]"
"scenario2","depot_3_route_18",194.591090,545.394402,"[2, 30, 47, 56]"
"scenario2","depot_2_route_19",133.726372,545.394402,"[1, 70, 34, 88]"
"scenario2","depot_8_route_20",67.014881,545.394402,"[7, 42, 109, 106]"
"scenario2","depot_9_route_21",75.660868,545.394402,"[8, 85, 93, 105]"
"scenario2","depot_3_route_22",82.595879,545.394402,"[2, 92, 108, 94]"
"scenario2","depot_4_route_23",99.941774,545.394402,"[3, 31, 13, 102, 11]"
"scenario2","depot_8_route_24",125.059617,545.394402,"[7, 35, 28, 12, 50]"
"scenario2","depot_10_route_25",144.780204,545.394402,"[9, 66, 14, 97, 81]"
"scenario2","depot_3_route_26",104.438028,545.394402,"[2, 15, 83, 91, 59]"
"scenario2","depot_10_route_27",158.058955,545.394402,"[9, 33, 16, 40, 46]"
"scenario2","depot_6_route_28",149.183875,545.394402,"[5, 19, 77, 72, 87]"
"scenario2","depot_2_route_29",128.670211,545.394402,"[1, 32, 21, 68, 58]"
"scenario2","depot_4_route_30",233.699943,545.394402,"[3, 24, 107, 79, 74]"
"scenario2","depot_6_route_31",188.885824,545.394402,"[5, 103, 104, 27, 36]"
"scenario2","depot_4_route_32",138.023081,545.394402,"[3, 29, 86, 48, 73]"
"scenario2","depot_9_route_33",145.289934,545.394402,"[8, 53, 54, 49, 82]"
"scenario2","depot_6_route_34",127.626405,545.394402,"[5, 57, 90, 84, 96]"
