scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,4375.121518,345.727417
scenario3,dataset_002,4751.425606,296.518834
scenario3,dataset_003,6283.119245,230.273500
scenario3,dataset_004,4866.055657,129.498000
scenario3,dataset_005,4974.084347,160.390000
scenario3,dataset_006,5422.718734,296.843875
scenario3,dataset_007,4546.934893,219.392375
scenario3,dataset_008,4688.285407,200.802583
scenario3,dataset_009,5202.624748,273.066625
scenario3,dataset_010,5323.457161,168.811542
scenario3,dataset_011,6139.181539,303.101666
scenario3,dataset_012,4591.143163,286.394750
scenario3,dataset_013,5776.768854,329.888709
scenario3,dataset_014,4715.478952,260.031250
scenario3,dataset_015,5578.230153,263.392667
scenario3,dataset_016,5825.824405,228.475500
scenario3,dataset_017,5541.710209,233.609583
scenario3,dataset_018,5194.843164,200.625583
scenario3,dataset_019,6043.015812,176.173958
scenario3,dataset_020,4653.128250,204.633250
scenario3,dataset_021,5527.281745,219.182417
scenario3,dataset_022,5221.568636,126.738375
scenario3,dataset_023,4953.006068,202.060792
scenario3,dataset_024,5122.352893,159.087958
scenario3,dataset_025,4784.045401,378.541375
scenario3,dataset_026,5423.397398,154.770750
scenario3,dataset_027,5856.327441,267.695000
scenario3,dataset_028,4555.659257,416.878417
scenario3,dataset_029,5932.537883,358.749916
scenario3,dataset_030,4904.345702,304.181292
scenario3,dataset_031,5254.429526,235.265167
scenario3,dataset_032,5241.307124,192.572042
scenario3,dataset_033,5049.699827,235.350208
scenario3,dataset_034,4931.202760,199.883958
scenario3,dataset_035,5266.686938,237.054167
scenario3,dataset_036,4718.350147,301.670583
scenario3,dataset_037,6131.379784,215.174084
scenario3,dataset_038,6101.996909,170.508792
scenario3,dataset_039,5193.180375,265.481042
scenario3,dataset_040,5113.815940,217.868625
scenario3,dataset_041,6205.357954,265.588667
scenario3,dataset_042,4890.220809,295.009292
scenario3,dataset_043,5420.600535,234.870083
scenario3,dataset_044,5612.277634,241.834667
scenario3,dataset_045,5126.123766,197.309292
scenario3,dataset_046,4749.831268,278.641000
scenario3,dataset_047,4945.273801,293.029292
scenario3,dataset_048,5550.058004,331.436708
scenario3,dataset_049,4401.672983,272.667292
scenario3,dataset_050,5037.170332,258.773041
scenario3,dataset_051,5056.255422,305.447583
scenario3,dataset_052,4835.119383,311.265458
scenario3,dataset_053,5972.206077,229.142875
scenario3,dataset_054,5165.124151,193.427750
scenario3,dataset_055,6478.117942,233.427834
scenario3,dataset_056,5340.179903,215.413833
scenario3,dataset_057,5939.571906,152.232084
scenario3,dataset_058,6441.339118,281.178542
scenario3,dataset_059,6402.386462,174.486208
scenario3,dataset_060,6283.938359,297.302333
scenario3,dataset_061,4847.757512,423.839375
scenario3,dataset_062,5266.902267,285.791166
scenario3,dataset_063,4773.162897,207.520209
scenario3,dataset_064,4464.595601,226.815875
scenario3,dataset_065,5011.217309,240.441458
scenario3,dataset_066,5327.555871,445.293667
scenario3,dataset_067,4630.042504,314.219500
scenario3,dataset_068,4757.169868,226.355292
scenario3,dataset_069,5270.488819,292.155416
scenario3,dataset_070,5298.425281,199.557458
scenario3,dataset_071,4731.382737,216.268417
scenario3,dataset_072,5452.288323,277.654166
scenario3,dataset_073,6293.271394,106.896958
scenario3,dataset_074,5312.298630,236.508209
scenario3,dataset_075,4712.634675,186.457583
scenario3,dataset_076,6160.482427,201.713291
scenario3,dataset_077,4998.726618,238.798166
scenario3,dataset_078,5415.775404,325.962584
scenario3,dataset_079,5766.692011,275.676958
scenario3,dataset_080,4647.119135,147.325083
scenario3,dataset_081,4626.049588,209.137583
scenario3,dataset_082,5103.008062,229.268000
scenario3,dataset_083,5727.637779,352.636667
scenario3,dataset_084,4838.549135,251.776625
scenario3,dataset_085,5462.686977,299.445375
scenario3,dataset_086,5339.506119,230.505500
scenario3,dataset_087,6080.630639,260.832375
scenario3,dataset_088,5133.614697,228.045500
scenario3,dataset_089,4906.429021,242.350667
scenario3,dataset_090,5750.153842,148.692250
scenario3,dataset_091,5355.024193,268.925667
scenario3,dataset_092,4990.558870,223.325500
scenario3,dataset_093,5246.052727,228.253709
scenario3,dataset_094,5649.237151,421.172458
scenario3,dataset_095,5043.306384,194.715875
scenario3,dataset_096,5758.001467,278.891625
scenario3,dataset_097,5562.930275,206.720208
scenario3,dataset_098,5299.297546,208.139708
scenario3,dataset_099,6586.814384,147.551792
scenario3,dataset_100,5262.008677,275.346625
