scenario,test_name,total_distance,runtime_ms,tours
"scenario3","dataset_001/depot_10_route_1",6.000000,1.088787,"[9, 76]"
"scenario3","dataset_001/depot_7_route_2",7.211103,1.088787,"[6, 78]"
"scenario3","dataset_001/depot_8_route_3",16.124515,1.088787,"[7, 30]"
"scenario3","dataset_001/depot_1_route_4",16.970563,1.088787,"[0, 91]"
"scenario3","dataset_001/depot_9_route_5",35.818538,1.088787,"[8, 28, 107]"
"scenario3","dataset_001/depot_3_route_6",18.439089,1.088787,"[2, 98]"
"scenario3","dataset_001/depot_6_route_7",37.223954,1.088787,"[5, 10, 97]"
"scenario3","dataset_001/depot_9_route_8",39.055884,1.088787,"[8, 55, 77]"
"scenario3","dataset_001/depot_6_route_9",39.391101,1.088787,"[5, 22, 43]"
"scenario3","dataset_001/depot_8_route_10",42.418763,1.088787,"[7, 73, 86]"
"scenario3","dataset_001/depot_4_route_11",45.189161,1.088787,"[3, 17, 74]"
"scenario3","dataset_001/depot_3_route_12",23.323808,1.088787,"[2, 47]"
"scenario3","dataset_001/depot_10_route_13",49.674491,1.088787,"[9, 46, 96]"
"scenario3","dataset_001/depot_2_route_14",57.169714,1.088787,"[1, 60, 62]"
"scenario3","dataset_001/depot_4_route_15",57.506710,1.088787,"[3, 48, 49]"
"scenario3","dataset_001/depot_9_route_16",61.436209,1.088787,"[8, 19, 104]"
"scenario3","dataset_001/depot_5_route_17",62.062736,1.088787,"[4, 21, 82]"
"scenario3","dataset_001/depot_7_route_18",32.062439,1.088787,"[6, 87]"
"scenario3","dataset_001/depot_5_route_19",32.249031,1.088787,"[4, 15]"
"scenario3","dataset_001/depot_8_route_20",66.054392,1.088787,"[7, 89, 92]"
"scenario3","dataset_001/depot_3_route_21",36.055513,1.088787,"[2, 63]"
"scenario3","dataset_001/depot_5_route_22",72.827747,1.088787,"[4, 59, 68]"
"scenario3","dataset_001/depot_3_route_23",36.769553,1.088787,"[2, 64]"
"scenario3","dataset_001/depot_1_route_24",76.444769,1.088787,"[0, 27, 105]"
"scenario3","dataset_001/depot_8_route_25",76.935395,1.088787,"[7, 31, 72]"
"scenario3","dataset_001/depot_10_route_26",78.290692,1.088787,"[9, 67, 88]"
"scenario3","dataset_001/depot_4_route_27",78.445037,1.088787,"[3, 20, 58]"
"scenario3","dataset_001/depot_8_route_28",80.424950,1.088787,"[7, 26, 41]"
"scenario3","dataset_001/depot_9_route_29",84.111447,1.088787,"[8, 25, 71]"
"scenario3","dataset_001/depot_5_route_30",85.510618,1.088787,"[4, 56, 70]"
"scenario3","dataset_001/depot_8_route_31",85.649282,1.088787,"[7, 13, 45]"
"scenario3","dataset_001/depot_9_route_32",86.814347,1.088787,"[8, 69, 109]"
"scenario3","dataset_001/depot_5_route_33",88.074064,1.088787,"[4, 65, 85]"
"scenario3","dataset_001/depot_5_route_34",88.653993,1.088787,"[4, 16, 79]"
"scenario3","dataset_001/depot_3_route_35",89.332279,1.088787,"[2, 80, 93]"
"scenario3","dataset_001/depot_4_route_36",93.627312,1.088787,"[3, 44, 101]"
"scenario3","dataset_001/depot_3_route_37",94.040815,1.088787,"[2, 51, 81]"
"scenario3","dataset_001/depot_8_route_38",94.341574,1.088787,"[7, 36, 52]"
"scenario3","dataset_001/depot_2_route_39",94.397529,1.088787,"[1, 11, 94]"
"scenario3","dataset_001/depot_7_route_40",95.069077,1.088787,"[6, 18, 95]"
"scenario3","dataset_001/depot_2_route_41",97.890257,1.088787,"[1, 100, 108]"
"scenario3","dataset_001/depot_8_route_42",98.079537,1.088787,"[7, 75, 90]"
"scenario3","dataset_001/depot_5_route_43",106.138631,1.088787,"[4, 61, 106]"
"scenario3","dataset_001/depot_9_route_44",109.274154,1.088787,"[8, 35, 83]"
"scenario3","dataset_001/depot_9_route_45",115.947722,1.088787,"[8, 29, 32]"
"scenario3","dataset_001/depot_3_route_46",121.185938,1.088787,"[2, 14, 33]"
"scenario3","dataset_001/depot_5_route_47",125.771044,1.088787,"[4, 50, 102]"
"scenario3","dataset_001/depot_7_route_48",133.031971,1.088787,"[6, 42, 66]"
"scenario3","dataset_001/depot_8_route_49",69.971423,1.088787,"[7, 57]"
"scenario3","dataset_001/depot_10_route_50",146.075200,1.088787,"[9, 24, 54]"
"scenario3","dataset_001/depot_3_route_51",147.489537,1.088787,"[2, 39, 103]"
"scenario3","dataset_001/depot_1_route_52",152.138902,1.088787,"[0, 23, 34]"
"scenario3","dataset_001/depot_9_route_53",88.204308,1.088787,"[8, 37]"
"scenario3","dataset_001/depot_3_route_54",90.022219,1.088787,"[2, 53]"
"scenario3","dataset_001/depot_5_route_55",95.268043,1.088787,"[4, 84]"
"scenario3","dataset_001/depot_9_route_56",102.528045,1.088787,"[8, 38]"
"scenario3","dataset_001/depot_9_route_57",103.227903,1.088787,"[8, 12]"
"scenario3","dataset_001/depot_2_route_58",142.351677,1.088787,"[1, 99]"
"scenario3","dataset_001/depot_10_route_59",210.950231,1.088787,"[9, 40]"
"scenario3","dataset_002/depot_4_route_1",2.828427,0.657400,"[3, 54]"
"scenario3","dataset_002/depot_3_route_2",6.324555,0.657400,"[2, 42]"
"scenario3","dataset_002/depot_3_route_3",12.165525,0.657400,"[2, 21]"
"scenario3","dataset_002/depot_2_route_4",31.962386,0.657400,"[1, 41, 87]"
"scenario3","dataset_002/depot_8_route_5",33.512625,0.657400,"[7, 16, 58]"
"scenario3","dataset_002/depot_8_route_6",34.316523,0.657400,"[7, 62, 82]"
"scenario3","dataset_002/depot_1_route_7",35.098592,0.657400,"[0, 11, 81]"
"scenario3","dataset_002/depot_4_route_8",35.098592,0.657400,"[3, 15, 105]"
"scenario3","dataset_002/depot_5_route_9",18.973666,0.657400,"[4, 31]"
"scenario3","dataset_002/depot_10_route_10",22.360680,0.657400,"[9, 94]"
"scenario3","dataset_002/depot_5_route_11",23.409400,0.657400,"[4, 99]"
"scenario3","dataset_002/depot_8_route_12",50.669268,0.657400,"[7, 14, 86]"
"scenario3","dataset_002/depot_9_route_13",25.455844,0.657400,"[8, 28]"
"scenario3","dataset_002/depot_4_route_14",54.261452,0.657400,"[3, 27, 66]"
"scenario3","dataset_002/depot_3_route_15",57.244665,0.657400,"[2, 39, 77]"
"scenario3","dataset_002/depot_9_route_16",69.653139,0.657400,"[8, 13, 26]"
"scenario3","dataset_002/depot_2_route_17",73.074108,0.657400,"[1, 10, 40]"
"scenario3","dataset_002/depot_10_route_18",73.202229,0.657400,"[9, 90, 91]"
"scenario3","dataset_002/depot_10_route_19",75.561349,0.657400,"[9, 19, 57]"
"scenario3","dataset_002/depot_1_route_20",75.871511,0.657400,"[0, 25, 93]"
"scenario3","dataset_002/depot_9_route_21",76.904317,0.657400,"[8, 79, 96]"
"scenario3","dataset_002/depot_3_route_22",77.388041,0.657400,"[2, 17, 24]"
"scenario3","dataset_002/depot_6_route_23",38.832976,0.657400,"[5, 72]"
"scenario3","dataset_002/depot_8_route_24",78.000000,0.657400,"[7, 32, 106]"
"scenario3","dataset_002/depot_1_route_25",78.942169,0.657400,"[0, 33, 70]"
"scenario3","dataset_002/depot_8_route_26",40.199502,0.657400,"[7, 38]"
"scenario3","dataset_002/depot_7_route_27",41.231056,0.657400,"[6, 64]"
"scenario3","dataset_002/depot_9_route_28",84.401181,0.657400,"[8, 20, 102]"
"scenario3","dataset_002/depot_3_route_29",85.718009,0.657400,"[2, 46, 47]"
"scenario3","dataset_002/depot_2_route_30",87.313145,0.657400,"[1, 44, 107]"
"scenario3","dataset_002/depot_7_route_31",48.166378,0.657400,"[6, 60]"
"scenario3","dataset_002/depot_1_route_32",48.166378,0.657400,"[0, 78]"
"scenario3","dataset_002/depot_8_route_33",96.492349,0.657400,"[7, 30, 48]"
"scenario3","dataset_002/depot_3_route_34",49.193496,0.657400,"[2, 101]"
"scenario3","dataset_002/depot_1_route_35",98.431497,0.657400,"[0, 59, 76]"
"scenario3","dataset_002/depot_6_route_36",104.562873,0.657400,"[5, 36, 45]"
"scenario3","dataset_002/depot_6_route_37",105.721158,0.657400,"[5, 55, 97]"
"scenario3","dataset_002/depot_9_route_38",109.622196,0.657400,"[8, 53, 65]"
"scenario3","dataset_002/depot_9_route_39",56.356011,0.657400,"[8, 37]"
"scenario3","dataset_002/depot_5_route_40",116.216771,0.657400,"[4, 12, 83]"
"scenario3","dataset_002/depot_1_route_41",119.644507,0.657400,"[0, 56, 67]"
"scenario3","dataset_002/depot_3_route_42",123.515484,0.657400,"[2, 35, 104]"
"scenario3","dataset_002/depot_9_route_43",125.679334,0.657400,"[8, 75, 88]"
"scenario3","dataset_002/depot_2_route_44",128.504156,0.657400,"[1, 29, 52]"
"scenario3","dataset_002/depot_7_route_45",65.145990,0.657400,"[6, 98]"
"scenario3","dataset_002/depot_5_route_46",130.343620,0.657400,"[4, 61, 71]"
"scenario3","dataset_002/depot_6_route_47",130.410739,0.657400,"[5, 85, 108]"
"scenario3","dataset_002/depot_8_route_48",130.753198,0.657400,"[7, 63, 68]"
