scenario,test_name,total_distance,runtime_ms,tours
"scenario1","depot_2_route_1",6.000000,0.812519,"[1, 18]"
"scenario1","depot_2_route_2",22.747346,0.812519,"[1, 49, 51]"
"scenario1","depot_1_route_3",12.165525,0.812519,"[0, 98]"
"scenario1","depot_9_route_4",25.534171,0.812519,"[8, 47, 65]"
"scenario1","depot_7_route_5",18.000000,0.812519,"[6, 46]"
"scenario1","depot_9_route_6",20.000000,0.812519,"[8, 37]"
"scenario1","depot_6_route_7",21.260292,0.812519,"[5, 95]"
"scenario1","depot_9_route_8",42.543283,0.812519,"[8, 32, 104]"
"scenario1","depot_8_route_9",44.298554,0.812519,"[7, 11, 39]"
"scenario1","depot_9_route_10",44.439089,0.812519,"[8, 34, 109]"
"scenario1","depot_3_route_11",47.812513,0.812519,"[2, 22, 83]"
"scenario1","depot_10_route_12",49.787487,0.812519,"[9, 31, 77]"
"scenario1","depot_2_route_13",26.076810,0.812519,"[1, 44]"
"scenario1","depot_8_route_14",26.683328,0.812519,"[7, 40]"
"scenario1","depot_4_route_15",56.546068,0.812519,"[3, 10, 41]"
"scenario1","depot_10_route_16",58.365838,0.812519,"[9, 59, 92]"
"scenario1","depot_8_route_17",58.514592,0.812519,"[7, 71, 72]"
"scenario1","depot_10_route_18",59.722401,0.812519,"[9, 103, 106]"
"scenario1","depot_6_route_19",67.730183,0.812519,"[5, 27, 57]"
"scenario1","depot_8_route_20",73.695238,0.812519,"[7, 17, 76]"
"scenario1","depot_2_route_21",36.878178,0.812519,"[1, 73]"
"scenario1","depot_3_route_22",73.980347,0.812519,"[2, 86, 90]"
"scenario1","depot_7_route_23",37.947332,0.812519,"[6, 64]"
"scenario1","depot_8_route_24",78.015165,0.812519,"[7, 33, 81]"
"scenario1","depot_8_route_25",82.189121,0.812519,"[7, 23, 45]"
"scenario1","depot_7_route_26",84.049161,0.812519,"[6, 24, 84]"
"scenario1","depot_4_route_27",42.190046,0.812519,"[3, 96]"
"scenario1","depot_3_route_28",42.941821,0.812519,"[2, 80]"
"scenario1","depot_7_route_29",44.045431,0.812519,"[6, 43]"
"scenario1","depot_10_route_30",90.995337,0.812519,"[9, 36, 55]"
"scenario1","depot_9_route_31",92.217155,0.812519,"[8, 30, 100]"
"scenario1","depot_5_route_32",93.219418,0.812519,"[4, 60, 85]"
"scenario1","depot_10_route_33",94.426334,0.812519,"[9, 12, 67]"
"scenario1","depot_2_route_34",94.585062,0.812519,"[1, 21, 74]"
"scenario1","depot_8_route_35",98.489686,0.812519,"[7, 58, 97]"
"scenario1","depot_6_route_36",98.804693,0.812519,"[5, 61, 75]"
"scenario1","depot_7_route_37",105.476796,0.812519,"[6, 54, 101]"
"scenario1","depot_9_route_38",105.751851,0.812519,"[8, 63, 89]"
"scenario1","depot_10_route_39",106.602342,0.812519,"[9, 79, 94]"
"scenario1","depot_4_route_40",53.851648,0.812519,"[3, 62]"
"scenario1","depot_6_route_41",108.509560,0.812519,"[5, 48, 52]"
"scenario1","depot_9_route_42",109.507903,0.812519,"[8, 66, 88]"
"scenario1","depot_6_route_43",123.609363,0.812519,"[5, 28, 93]"
"scenario1","depot_6_route_44",125.935684,0.812519,"[5, 16, 19]"
"scenario1","depot_2_route_45",126.000000,0.812519,"[1, 99, 108]"
"scenario1","depot_8_route_46",130.616825,0.812519,"[7, 13, 14]"
"scenario1","depot_3_route_47",135.171590,0.812519,"[2, 20, 78]"
"scenario1","depot_4_route_48",135.976362,0.812519,"[3, 25, 50]"
"scenario1","depot_7_route_49",138.113107,0.812519,"[6, 82, 91]"
"scenario1","depot_10_route_50",145.091583,0.812519,"[9, 35, 42]"
"scenario1","depot_7_route_51",150.371440,0.812519,"[6, 70, 87]"
"scenario1","depot_3_route_52",154.755005,0.812519,"[2, 69, 107]"
"scenario1","depot_4_route_53",154.967752,0.812519,"[3, 26, 56]"
"scenario1","depot_4_route_54",164.760426,0.812519,"[3, 53, 68]"
"scenario1","depot_10_route_55",175.909418,0.812519,"[9, 38, 105]"
"scenario1","depot_4_route_56",91.301698,0.812519,"[3, 102]"
"scenario1","depot_5_route_57",112.071406,0.812519,"[4, 15]"
"scenario1","depot_7_route_58",137.884009,0.812519,"[6, 29]"
