scenario,dataset,total_distance_sum,total_time_ms_sum
scenario2,dataset_001,3798.585673,917.673083
scenario2,dataset_002,4129.626419,936.413250
scenario2,dataset_003,4865.567081,915.336083
scenario2,dataset_004,3879.525526,932.480084
scenario2,dataset_005,4164.632175,914.729834
scenario2,dataset_006,4661.502743,908.724417
scenario2,dataset_007,3881.354826,914.389542
scenario2,dataset_008,4081.467144,908.889708
scenario2,dataset_009,4235.696204,900.905875
scenario2,dataset_010,4363.959453,884.438584
scenario2,dataset_011,4829.869485,904.936417
scenario2,dataset_012,3727.980119,906.350959
scenario2,dataset_013,4533.626849,898.727875
scenario2,dataset_014,4026.367229,920.791750
scenario2,dataset_015,4324.704660,902.727833
scenario2,dataset_016,4662.723401,912.878042
scenario2,dataset_017,4718.368432,924.614875
scenario2,dataset_018,4325.009647,925.025709
scenario2,dataset_019,4705.527262,921.455750
scenario2,dataset_020,3883.594807,925.524042
scenario2,dataset_021,4470.855790,898.688542
scenario2,dataset_022,4088.192630,904.917667
scenario2,dataset_023,4158.011005,916.080000
scenario2,dataset_024,4118.497073,903.659917
scenario2,dataset_025,3886.237768,911.098083
scenario2,dataset_026,4446.848860,899.171333
scenario2,dataset_027,4748.817772,905.712333
scenario2,dataset_028,3830.321039,896.919542
scenario2,dataset_029,4821.074686,937.556292
scenario2,dataset_030,4024.850809,946.281208
scenario2,dataset_031,4034.035012,940.418916
scenario2,dataset_032,4271.127335,949.839500
scenario2,dataset_033,4251.018215,918.029875
scenario2,dataset_034,3938.622140,925.073666
scenario2,dataset_035,4204.634253,938.566375
scenario2,dataset_036,3984.579012,938.916125
scenario2,dataset_037,4815.834138,910.583541
scenario2,dataset_038,4847.229633,931.230292
scenario2,dataset_039,4327.705970,920.990834
scenario2,dataset_040,3963.302397,921.125750
scenario2,dataset_041,4891.908350,913.257042
scenario2,dataset_042,4012.889092,905.785667
scenario2,dataset_043,4344.504612,899.175083
scenario2,dataset_044,4503.927307,905.796875
scenario2,dataset_045,4143.206016,915.566250
scenario2,dataset_046,4067.878953,926.998042
scenario2,dataset_047,4087.893002,911.515125
scenario2,dataset_048,4378.489809,911.609375
scenario2,dataset_049,3876.206453,904.839292
scenario2,dataset_050,4146.648434,906.170125
scenario2,dataset_051,4102.560836,922.511709
scenario2,dataset_052,3994.169341,906.787833
scenario2,dataset_053,4790.025627,912.676250
scenario2,dataset_054,4268.048374,910.457208
scenario2,dataset_055,4980.588736,921.194916
scenario2,dataset_056,4290.748685,906.856750
scenario2,dataset_057,4758.703685,899.391458
scenario2,dataset_058,5062.380793,919.803334
scenario2,dataset_059,4940.841838,913.215542
scenario2,dataset_060,4848.476572,912.557416
scenario2,dataset_061,3828.325490,903.367667
scenario2,dataset_062,4209.740402,916.062792
scenario2,dataset_063,3909.270698,908.302833
scenario2,dataset_064,3694.418445,902.333000
scenario2,dataset_065,4201.069184,901.137250
scenario2,dataset_066,4163.554805,905.775500
scenario2,dataset_067,3901.675995,905.765958
scenario2,dataset_068,3754.676108,918.724375
scenario2,dataset_069,4300.493243,896.007292
scenario2,dataset_070,4172.144144,905.170875
scenario2,dataset_071,3869.027963,919.441083
scenario2,dataset_072,4569.351970,887.276542
scenario2,dataset_073,4835.273349,894.056333
scenario2,dataset_074,4299.481319,895.038875
scenario2,dataset_075,3804.024663,896.181458
scenario2,dataset_076,4742.933284,920.613250
scenario2,dataset_077,4094.661832,897.197833
scenario2,dataset_078,4297.210405,920.127000
scenario2,dataset_079,4496.298717,930.655959
scenario2,dataset_080,4009.090829,931.017500
scenario2,dataset_081,3827.186331,936.667209
scenario2,dataset_082,4300.632735,931.940958
scenario2,dataset_083,4541.447404,944.317292
scenario2,dataset_084,3974.069848,948.268708
scenario2,dataset_085,4547.383341,933.617375
scenario2,dataset_086,4282.833256,935.502041
scenario2,dataset_087,4906.498073,917.928625
scenario2,dataset_088,4124.749869,928.702167
scenario2,dataset_089,4208.620950,923.783083
scenario2,dataset_090,4659.039713,937.849125
scenario2,dataset_091,4264.420748,926.914875
scenario2,dataset_092,4238.834385,935.130334
scenario2,dataset_093,4132.547053,930.192625
scenario2,dataset_094,4614.647276,970.990416
scenario2,dataset_095,3904.089353,921.662875
scenario2,dataset_096,4552.350354,922.792458
scenario2,dataset_097,4372.152162,915.988208
scenario2,dataset_098,4526.666698,920.911375
scenario2,dataset_099,5094.234665,928.843667
scenario2,dataset_100,4160.046551,928.983500
