scenario,test_name,total_distance,runtime_ms,tours
"scenario3","dataset_001/cluster_01.json",323.65,0.32,"[0, 4, 5] | [0, 3, 6] | [0, 1, 2]"
"scenario3","dataset_001/cluster_02.json",367.27,0.13,"[0, 2, 3] | [0, 1, 4] | [0, 5] | [0, 6]"
"scenario3","dataset_001/cluster_03.json",750.65,0.32,"[0, 12, 14] | [0, 9, 11] | [0, 5, 8] | [0, 4, 13] | [0, 2, 10] | [0, 1, 3] | [0, 6] | [0, 7]"
"scenario3","dataset_001/cluster_04.json",260.64,0.12,"[0, 6, 7] | [0, 3, 4] | [0, 2, 8] | [0, 1, 5]"
"scenario3","dataset_001/cluster_05.json",777.99,0.61,"[0, 12, 15] | [0, 10, 16] | [0, 9, 11] | [0, 7, 17] | [0, 6, 13] | [0, 4, 8] | [0, 3, 5] | [0, 2, 14] | [0, 1, 18]"
"scenario3","dataset_001/cluster_06.json",99.52,0.06,"[0, 1, 4] | [0, 2] | [0, 3]"
"scenario3","dataset_001/cluster_07.json",235.49,0.07,"[0, 3, 6] | [0, 1, 2] | [0, 4] | [0, 5]"
"scenario3","dataset_001/cluster_08.json",597.02,0.34,"[0, 14, 15] | [0, 10, 12] | [0, 6, 8] | [0, 5, 7] | [0, 4, 9] | [0, 3, 16] | [0, 2, 13] | [0, 1, 11]"
"scenario3","dataset_001/cluster_09.json",793.03,0.55,"[0, 11, 14] | [0, 10, 18] | [0, 8, 12] | [0, 7, 13] | [0, 5, 9] | [0, 4, 17] | [0, 3, 16] | [0, 2, 6] | [0, 1, 15]"
"scenario3","dataset_001/cluster_10.json",519.36,0.26,"[0, 8, 9] | [0, 6, 10] | [0, 5, 7] | [0, 2, 4] | [0, 1, 3]"
"scenario3","dataset_002/cluster_01.json",606.09,0.49,"[0, 12, 14] | [0, 7, 10] | [0, 6, 9] | [0, 4, 5] | [0, 3, 8] | [0, 2, 13] | [0, 1, 11]"
"scenario3","dataset_002/cluster_02.json",633.66,0.21,"[0, 7, 12] | [0, 6, 10] | [0, 5, 9] | [0, 3, 8] | [0, 2, 11] | [0, 1] | [0, 4]"
"scenario3","dataset_002/cluster_03.json",921.64,0.41,"[0, 13, 16] | [0, 9, 10] | [0, 6, 14] | [0, 5, 11] | [0, 4, 15] | [0, 3, 8] | [0, 2, 12] | [0, 1, 7]"
"scenario3","dataset_002/cluster_04.json",120.59,0.10,"[0, 3, 4] | [0, 2, 5] | [0, 1, 6]"
"scenario3","dataset_002/cluster_05.json",110.06,0.05,"[0, 2, 4] | [0, 1] | [0, 3]"
"scenario3","dataset_002/cluster_06.json",843.00,0.23,"[0, 7, 10] | [0, 6, 9] | [0, 4, 5] | [0, 3, 8] | [0, 1] | [0, 2]"
"scenario3","dataset_002/cluster_07.json",208.34,0.05,"[0, 1, 3] | [0, 2] | [0, 4]"
"scenario3","dataset_002/cluster_08.json",610.31,0.50,"[0, 14, 15] | [0, 12, 16] | [0, 9, 13] | [0, 6, 10] | [0, 4, 8] | [0, 3, 11] | [0, 2, 7] | [0, 1, 5]"
"scenario3","dataset_002/cluster_09.json",720.86,0.42,"[0, 11, 13] | [0, 9, 10] | [0, 6, 7] | [0, 5, 14] | [0, 2, 4] | [0, 1, 3] | [0, 8] | [0, 12]"
"scenario3","dataset_002/cluster_10.json",351.82,0.12,"[0, 6, 8] | [0, 4, 5] | [0, 3, 7] | [0, 1, 2]"
"scenario3","dataset_003/cluster_01.json",495.45,0.26,"[0, 4, 6] | [0, 2, 8] | [0, 1, 7] | [0, 3] | [0, 5]"
"scenario3","dataset_003/cluster_02.json",114.22,0.05,"[0, 1, 2]"
"scenario3","dataset_003/cluster_03.json",472.25,0.20,"[0, 8, 9] | [0, 7, 10] | [0, 5, 6] | [0, 2, 4] | [0, 1, 3]"
"scenario3","dataset_003/cluster_04.json",1426.58,0.62,"[0, 11, 13] | [0, 9, 16] | [0, 8, 14] | [0, 6, 7] | [0, 5, 12] | [0, 3, 4] | [0, 2, 15] | [0, 1, 10]"
"scenario3","dataset_003/cluster_05.json",188.84,0.08,"[0, 3, 5] | [0, 1] | [0, 2] | [0, 4] | [0, 6]"
"scenario3","dataset_003/cluster_06.json",501.66,0.14,"[0, 4, 7] | [0, 3, 5] | [0, 2, 6] | [0, 1, 8]"
"scenario3","dataset_003/cluster_07.json",643.86,0.44,"[0, 11, 13] | [0, 6, 10] | [0, 5, 14] | [0, 4, 9] | [0, 3, 7] | [0, 2, 12] | [0, 1, 8]"
"scenario3","dataset_003/cluster_08.json",223.08,0.05,"[0, 3, 4] | [0, 1] | [0, 2]"
"scenario3","dataset_003/cluster_09.json",2386.66,1.74,"[0, 26, 30] | [0, 24, 27] | [0, 15, 21] | [0, 14, 18] | [0, 13, 28] | [0, 12, 20] | [0, 11, 22] | [0, 10, 23] | [0, 8, 16] | [0, 6, 25] | [0, 5, 17] | [0, 4, 7] | [0, 3, 9] | [0, 2, 29] | [0, 1, 19]"
"scenario3","dataset_003/cluster_10.json",170.95,0.12,"[0, 3, 4] | [0, 2, 5] | [0, 1, 6]"
"scenario3","dataset_004/cluster_01.json",503.21,0.20,"[0, 9, 11] | [0, 5, 6] | [0, 3, 12] | [0, 1, 7] | [0, 2] | [0, 4] | [0, 8] | [0, 10]"
"scenario3","dataset_004/cluster_02.json",1004.84,0.92,"[0, 15, 20] | [0, 13, 19] | [0, 11, 17] | [0, 7, 8] | [0, 6, 12] | [0, 5, 18] | [0, 4, 14] | [0, 3, 16] | [0, 2, 9] | [0, 1, 10]"
"scenario3","dataset_004/cluster_03.json",485.11,0.18,"[0, 7, 8] | [0, 4, 10] | [0, 3, 6] | [0, 2, 9] | [0, 1] | [0, 5]"
"scenario3","dataset_004/cluster_04.json",404.50,0.12,"[0, 3, 7] | [0, 2, 8] | [0, 1, 6] | [0, 4] | [0, 5]"
"scenario3","dataset_004/cluster_05.json",402.04,0.13,"[0, 4, 6] | [0, 3, 5] | [0, 2, 7] | [0, 1, 8]"
"scenario3","dataset_004/cluster_06.json",969.61,0.62,"[0, 16, 17] | [0, 11, 13] | [0, 9, 10] | [0, 7, 8] | [0, 6, 15] | [0, 5, 18] | [0, 4, 12] | [0, 2, 3] | [0, 1, 14]"
"scenario3","dataset_004/cluster_07.json",335.76,0.07,"[0, 4, 6] | [0, 2, 5] | [0, 1] | [0, 3]"
"scenario3","dataset_004/cluster_08.json",643.53,0.42,"[0, 8, 9] | [0, 7, 13] | [0, 5, 11] | [0, 4, 14] | [0, 3, 6] | [0, 2, 10] | [0, 1, 12]"
"scenario3","dataset_004/cluster_09.json",148.18,0.03,"[0, 1] | [0, 2]"
"scenario3","dataset_004/cluster_10.json",349.32,0.09,"[0, 2, 6] | [0, 1, 3] | [0, 4] | [0, 5]"
"scenario3","dataset_005/cluster_01.json",188.23,0.10,"[0, 1, 3] | [0, 2] | [0, 4]"
"scenario3","dataset_005/cluster_02.json",913.70,0.37,"[0, 12, 13] | [0, 9, 11] | [0, 8, 10] | [0, 6, 14] | [0, 4, 7] | [0, 2, 3] | [0, 1, 5]"
"scenario3","dataset_005/cluster_03.json",537.31,0.13,"[0, 6, 7] | [0, 2, 8] | [0, 1, 4] | [0, 3] | [0, 5]"
"scenario3","dataset_005/cluster_04.json",452.41,0.35,"[0, 9, 14] | [0, 8, 13] | [0, 7, 10] | [0, 6, 11] | [0, 3, 4] | [0, 2, 12] | [0, 1, 5]"
"scenario3","dataset_005/cluster_05.json",664.58,0.29,"[0, 8, 10] | [0, 7, 11] | [0, 5, 12] | [0, 3, 9] | [0, 2, 4] | [0, 1, 6]"
