scenario,test_name,total_distance,runtime_ms,tours
"scenario2","cluster_01.json",620.71,0.28,"[0, 2, 3, 6, 8] | [0, 9, 1, 10] | [0, 7, 4] | [0, 5]"
"scenario2","cluster_02.json",131.31,0.07,"[0, 4, 1, 2, 3]"
"scenario2","cluster_03.json",1917.23,1.46,"[0, 31, 3, 9, 5] | [0, 12, 6, 28] | [0, 13, 17, 7] | [0, 32, 14, 22] | [0, 16, 18, 11, 2] | [0, 21, 25] | [0, 15, 20] | [0, 27, 19, 23] | [0, 26, 24, 30, 1] | [0, 10, 4, 8] | [0, 29]"
"scenario2","cluster_04.json",507.36,0.30,"[0, 6, 12, 3] | [0, 8, 2, 7] | [0, 5, 1, 9] | [0, 4, 10] | [0, 11]"
"scenario2","cluster_05.json",562.32,0.25,"[0, 12, 1, 10, 4] | [0, 5, 2, 7, 6] | [0, 3, 11, 9] | [0, 8]"
"scenario2","cluster_06.json",181.59,0.13,"[0, 4, 1, 3] | [0, 2]"
"scenario2","cluster_07.json",560.31,0.67,"[0, 7, 4, 3, 5] | [0, 11, 2, 12, 8] | [0, 14, 9, 13] | [0, 1, 6] | [0, 10]"
"scenario2","cluster_08.json",634.83,0.47,"[0, 2, 5, 6] | [0, 7, 10, 9] | [0, 1, 8] | [0, 4, 3]"
"scenario2","cluster_09.json",135.81,0.21,"[0, 6, 3, 4] | [0, 5, 2] | [0, 1]"
"scenario2","cluster_10.json",111.67,0.05,"[0, 2, 1]"
