scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,4724.62,4.86
scenario3,dataset_002,5126.37,4.20
scenario3,dataset_003,6623.55,5.79
scenario3,dataset_004,5246.10,4.53
scenario3,dataset_005,5338.89,4.78
scenario3,dataset_006,5777.22,5.75
scenario3,dataset_007,4747.33,5.63
scenario3,dataset_008,4931.32,5.72
scenario3,dataset_009,5586.50,6.17
scenario3,dataset_010,5883.04,10.61
scenario3,dataset_011,6581.82,6.85
scenario3,dataset_012,4970.32,4.73
scenario3,dataset_013,6232.88,2.63
scenario3,dataset_014,5104.89,9.24
scenario3,dataset_015,5805.80,6.36
scenario3,dataset_016,6142.89,4.46
scenario3,dataset_017,5838.81,2.21
scenario3,dataset_018,5715.61,3.42
scenario3,dataset_019,6439.05,3.61
scenario3,dataset_020,4903.02,7.30
scenario3,dataset_021,5813.65,7.49
scenario3,dataset_022,5504.19,5.32
scenario3,dataset_023,5264.27,8.11
scenario3,dataset_024,5384.97,5.68
scenario3,dataset_025,5178.16,4.04
scenario3,dataset_026,5638.97,2.05
scenario3,dataset_027,6187.21,7.61
scenario3,dataset_028,4714.12,5.43
scenario3,dataset_029,6140.76,2.80
scenario3,dataset_030,5122.55,8.10
scenario3,dataset_031,5660.24,7.71
scenario3,dataset_032,5403.95,5.47
scenario3,dataset_033,5347.21,9.28
scenario3,dataset_034,5213.27,6.48
scenario3,dataset_035,5638.41,4.14
scenario3,dataset_036,4944.43,6.33
scenario3,dataset_037,6578.77,6.07
scenario3,dataset_038,6382.12,5.44
scenario3,dataset_039,5682.19,2.19
scenario3,dataset_040,5401.91,6.68
scenario3,dataset_041,6540.53,6.01
scenario3,dataset_042,5131.75,4.28
scenario3,dataset_043,5819.64,2.48
scenario3,dataset_044,5798.14,2.08
scenario3,dataset_045,5415.39,2.54
scenario3,dataset_046,5174.78,2.13
scenario3,dataset_047,5219.90,2.82
scenario3,dataset_048,5787.86,2.77
scenario3,dataset_049,4791.01,2.88
scenario3,dataset_050,5404.31,2.99
scenario3,dataset_051,5373.72,2.88
scenario3,dataset_052,5076.44,3.21
scenario3,dataset_053,6289.44,4.16
scenario3,dataset_054,5544.59,3.63
scenario3,dataset_055,6746.95,5.99
scenario3,dataset_056,5909.04,2.40
scenario3,dataset_057,6296.95,4.66
scenario3,dataset_058,6623.37,5.45
scenario3,dataset_059,6666.08,2.34
scenario3,dataset_060,6540.34,6.29
scenario3,dataset_061,5203.23,4.20
scenario3,dataset_062,5558.07,5.90
scenario3,dataset_063,4952.69,3.52
scenario3,dataset_064,4699.74,5.78
scenario3,dataset_065,5209.94,4.38
scenario3,dataset_066,5816.27,2.25
scenario3,dataset_067,4910.45,2.45
scenario3,dataset_068,5218.22,2.63
scenario3,dataset_069,5832.80,2.76
scenario3,dataset_070,5678.92,3.13
scenario3,dataset_071,4956.81,2.43
scenario3,dataset_072,5685.39,2.51
scenario3,dataset_073,6596.65,3.67
scenario3,dataset_074,5609.72,3.38
scenario3,dataset_075,4921.17,2.20
scenario3,dataset_076,6428.92,2.53
scenario3,dataset_077,5249.62,2.89
scenario3,dataset_078,5842.36,2.58
scenario3,dataset_079,6115.63,2.93
scenario3,dataset_080,5023.07,2.09
scenario3,dataset_081,5059.57,2.36
scenario3,dataset_082,5340.01,4.10
scenario3,dataset_083,6154.59,4.67
scenario3,dataset_084,5177.69,3.60
scenario3,dataset_085,5685.68,3.98
scenario3,dataset_086,5798.44,6.05
scenario3,dataset_087,6376.13,5.31
scenario3,dataset_088,5357.63,3.79
scenario3,dataset_089,5219.65,2.43
scenario3,dataset_090,6333.55,1.99
scenario3,dataset_091,5791.36,3.73
scenario3,dataset_092,5274.18,2.78
scenario3,dataset_093,5381.26,2.44
scenario3,dataset_094,5795.91,5.46
scenario3,dataset_095,5264.63,4.95
scenario3,dataset_096,5932.36,2.66
scenario3,dataset_097,5964.81,5.19
scenario3,dataset_098,5582.65,4.06
scenario3,dataset_099,6951.90,4.42
scenario3,dataset_100,5569.33,3.97
