dataset_num,cluster_first/scenario2,match_first/scenario2,ca_ilp/scenario2,ca_mis/scenario2
1,3908.970000,4335.790000,3366.042514,3798.585673
2,4408.860000,4782.850000,3673.684967,4129.626419
3,5287.850000,5454.310000,4424.514730,4865.567081
4,4218.990000,4137.300000,3577.351766,3879.525526
5,4705.150000,4628.790000,3783.483916,4164.632175
6,4919.570000,5024.110000,4083.011358,4661.502743
7,4285.890000,4378.670000,3480.135188,3881.354826
8,4305.260000,4606.730000,3598.601858,4081.467144
9,4821.660000,4629.410000,3897.755280,4235.696204
10,4693.080000,4795.340000,3966.666107,4363.959453
11,5422.810000,5524.980000,4477.723471,4829.869485
12,4078.390000,4048.610000,3445.740137,3727.980119
13,5099.650000,5057.510000,4171.607396,4533.626849
14,4372.190000,4895.730000,3610.207676,4026.367229
15,4828.550000,4999.230000,4052.779662,4324.704660
16,5262.200000,5352.810000,4223.100096,4662.723401
17,4825.370000,4977.160000,4204.815400,4718.368432
18,4803.470000,4687.610000,3884.621473,4325.009647
19,5228.560000,5060.680000,4206.754391,4705.527262
20,4356.900000,4002.940000,3446.324734,3883.594807
21,4844.220000,4977.020000,4003.923138,4470.855790
22,4774.430000,4463.900000,3856.336881,4088.192630
23,4376.870000,4792.970000,3701.761388,4158.011005
24,4754.620000,5205.760000,3825.218109,4118.497073
25,4289.860000,4548.270000,3566.138535,3886.237768
26,5223.860000,4779.980000,4002.296870,4446.848860
27,5124.870000,5158.220000,4218.599863,4748.817772
28,4268.190000,4393.310000,3491.027185,3830.321039
29,5341.920000,5006.260000,4206.701406,4821.074686
30,4394.640000,4579.630000,3544.220776,4024.850809
31,4846.220000,4473.590000,3823.348511,4034.035012
32,4652.350000,4562.600000,3907.261313,4271.127335
33,4825.440000,4744.790000,3791.089554,4251.018215
34,4623.410000,4709.230000,3615.605223,3938.622140
35,5084.030000,5156.500000,3907.143695,4204.634253
36,4257.160000,4236.020000,3438.302183,3984.579012
37,5363.140000,4996.410000,4283.253845,4815.834138
38,5598.840000,5086.790000,4307.816971,4847.229633
39,4847.110000,5075.930000,3861.770765,4327.705970
40,4486.460000,4346.530000,3715.458506,3963.302397
41,5111.000000,4984.150000,4253.928743,4891.908350
42,4495.180000,4780.710000,3637.373684,4012.889092
43,5082.320000,5002.590000,3943.573091,4344.504612
44,4847.660000,5283.190000,4142.852391,4503.927307
45,4599.740000,4789.740000,3792.497091,4143.206016
46,4280.060000,4549.730000,3590.432739,4067.878953
47,4590.490000,4934.340000,3728.054079,4087.893002
48,5020.640000,4859.320000,4033.474056,4378.489809
49,4389.020000,4069.420000,3471.155213,3876.206453
50,4490.140000,4687.200000,3768.083993,4146.648434
51,4658.520000,4553.930000,3698.760934,4102.560836
52,4551.430000,4493.510000,3657.549802,3994.169341
53,5174.030000,4851.950000,4205.253129,4790.025627
54,4502.500000,4591.640000,3798.666518,4268.048374
55,5428.930000,5320.230000,4545.397791,4980.588736
56,4841.280000,4786.650000,3914.550149,4290.748685
57,5355.080000,5069.130000,4273.148868,4758.703685
58,5743.760000,5000.430000,4479.873556,5062.380793
59,5292.650000,5144.120000,4398.353186,4940.841838
60,5607.590000,5544.190000,4442.697477,4848.476572
61,4578.060000,4464.590000,3622.493874,3828.325490
62,4949.940000,4755.120000,3751.684857,4209.740402
63,4376.610000,4322.090000,3586.915082,3909.270698
64,4361.560000,4703.540000,3325.177475,3694.418445
65,4443.530000,4322.600000,3761.422239,4201.069184
66,4808.810000,4799.540000,3893.576108,4163.554805
67,4240.600000,4503.710000,3525.040523,3901.675995
68,4148.610000,4692.480000,3560.035314,3754.676108
69,4898.940000,4947.740000,3954.975864,4300.493243
70,4541.020000,4658.150000,3773.741198,4172.144144
71,4338.090000,4594.380000,3570.393142,3869.027963
72,5055.880000,4823.300000,4015.258152,4569.351970
73,5310.110000,5335.080000,4432.813301,4835.273349
74,5063.250000,4823.950000,3935.054982,4299.481319
75,4213.250000,4576.770000,3492.522271,3804.024663
76,5216.490000,5291.250000,4410.511423,4742.933284
77,4279.100000,4716.720000,3664.086331,4094.661832
78,4990.390000,5073.760000,3935.596392,4297.210405
79,4963.080000,4865.840000,4098.202391,4496.298717
80,4222.000000,4398.070000,3488.624310,4009.090829
81,4297.830000,4128.650000,3559.661385,3827.186331
82,4606.470000,4702.060000,3818.589801,4300.632735
83,4936.370000,4999.300000,4122.856500,4541.447404
84,4543.780000,4556.240000,3597.044494,3974.069848
85,4714.400000,4787.140000,4032.976517,4547.383341
86,4731.720000,4487.600000,3878.946790,4282.833256
87,5731.710000,5387.160000,4414.748444,4906.498073
88,4743.010000,4559.050000,3738.385554,4124.749869
89,4479.530000,4623.140000,3715.674427,4208.620950
90,5252.170000,4898.770000,4117.793143,4659.039713
91,4555.860000,4478.490000,3834.765781,4264.420748
92,4853.350000,4390.010000,3761.222079,4238.834385
93,4628.520000,4417.630000,3735.259018,4132.547053
94,4811.370000,4984.870000,4037.738859,4614.647276
95,4457.290000,4918.020000,3743.131380,3904.089353
96,5126.420000,5171.320000,4210.990422,4552.350354
97,4783.880000,5150.280000,3918.604171,4372.152162
98,4919.790000,4846.790000,3987.551163,4526.666698
99,5978.340000,5675.100000,4736.388139,5094.234665
100,4522.420000,4593.690000,3836.863011,4160.046551
