scenario,test_name,total_distance,runtime_ms,tours
"scenario3","dataset_001",4592.78,11.99,"[8, 107, 109] | [1, 100, 108] | [7, 90, 92] | [4, 79, 85] | [9, 76, 96] | [7, 73, 86] | [4, 68, 102] | [6, 66, 95] | [2, 63, 101] | [4, 61, 106] | [1, 60, 62] | [4, 59, 82] | [0, 58, 91] | [6, 56, 87] | [8, 55, 77] | [2, 53, 98] | [2, 51, 64] | [4, 50, 65] | [2, 47, 93] | [9, 46, 88] | [7, 45, 75] | [3, 44, 48] | [2, 39, 103] | [8, 37, 69] | [7, 36, 52] | [1, 35, 99] | [0, 34, 40] | [2, 33, 81] | [7, 31, 72] | [7, 30, 89] | [8, 29, 32] | [8, 28, 38] | [0, 27, 105] | [7, 26, 41] | [8, 25, 71] | [9, 24, 54] | [9, 23, 67] | [5, 22, 43] | [4, 21, 70] | [3, 20, 49] | [8, 19, 104] | [6, 18, 42] | [3, 17, 74] | [4, 16, 84] | [5, 15, 78] | [2, 14, 80] | [7, 13, 57] | [8, 12, 83] | [1, 11, 94] | [5, 10, 97]"
"scenario3","dataset_002",4883.29,11.01,"[9, 91, 98] | [5, 85, 108] | [8, 75, 96] | [8, 74, 102] | [2, 73, 77] | [2, 69, 109] | [7, 68, 92] | [0, 67, 76] | [6, 64, 90] | [7, 62, 63] | [4, 61, 71] | [6, 60, 94] | [8, 59, 80] | [7, 58, 86] | [5, 55, 97] | [3, 54, 66] | [8, 53, 65] | [5, 51, 100] | [0, 50, 56] | [2, 46, 47] | [5, 45, 89] | [1, 44, 107] | [2, 43, 103] | [1, 41, 87] | [1, 40, 52] | [2, 39, 101] | [5, 36, 72] | [2, 35, 104] | [1, 34, 88] | [0, 33, 70] | [7, 32, 106] | [4, 31, 105] | [7, 30, 48] | [1, 29, 95] | [8, 28, 37] | [3, 27, 78] | [0, 25, 93] | [5, 22, 23] | [2, 21, 42] | [8, 20, 79] | [9, 19, 57] | [2, 18, 49] | [2, 17, 24] | [7, 16, 82] | [4, 15, 99] | [7, 14, 38] | [8, 13, 26] | [4, 12, 83] | [0, 11, 81] | [1, 10, 84]"
"scenario3","dataset_003",6503.84,9.39,"[3, 92, 94] | [8, 90, 96] | [5, 88, 99] | [2, 84, 104] | [2, 79, 87] | [9, 77, 106] | [3, 70, 102] | [5, 69, 95] | [4, 67, 76] | [6, 64, 107] | [8, 63, 82] | [6, 59, 98] | [4, 58, 61] | [7, 54, 71] | [1, 52, 68] | [6, 51, 89] | [8, 49, 78] | [8, 48, 80] | [3, 47, 56] | [9, 46, 85] | [6, 45, 74] | [0, 44, 100] | [8, 43, 105] | [2, 41, 101] | [2, 40, 75] | [8, 39, 83] | [0, 38, 93] | [8, 36, 109] | [7, 33, 57] | [3, 32, 72] | [6, 31, 53] | [3, 30, 103] | [2, 29, 55] | [3, 28, 37] | [6, 27, 42] | [8, 26, 50] | [8, 25, 97] | [7, 24, 34] | [5, 22, 91] | [3, 20, 66] | [8, 19, 35] | [8, 18, 62] | [8, 17, 81] | [8, 16, 21] | [8, 15, 86] | [2, 14, 60] | [8, 13, 65] | [4, 12, 73] | [5, 11, 108] | [0, 10, 23]"
"scenario3","dataset_004",4944.09,9.58,"[1, 92, 102] | [9, 81, 107] | [6, 77, 109] | [5, 75, 83] | [3, 70, 100] | [4, 67, 99] | [1, 63, 96] | [2, 62, 93] | [1, 61, 94] | [4, 60, 105] | [5, 58, 73] | [7, 55, 71] | [3, 54, 87] | [1, 53, 88] | [6, 52, 103] | [7, 51, 95] | [5, 49, 59] | [0, 48, 78] | [5, 47, 72] | [1, 46, 82] | [0, 45, 57] | [0, 44, 97] | [6, 42, 43] | [5, 41, 106] | [4, 40, 90] | [1, 38, 79] | [7, 37, 104] | [5, 36, 86] | [0, 34, 91] | [7, 33, 39] | [1, 32, 101] | [9, 31, 98] | [5, 30, 68] | [1, 29, 84] | [1, 28, 108] | [0, 27, 64] | [9, 26, 56] | [7, 24, 80] | [3, 23, 85] | [2, 22, 66] | [2, 21, 25] | [6, 20, 50] | [5, 17, 65] | [3, 16, 76] | [7, 15, 89] | [1, 14, 18] | [5, 13, 74] | [8, 12, 35] | [2, 11, 19] | [2, 10, 69]"
"scenario3","dataset_005",5192.73,9.83,"[5, 99, 107] | [5, 95, 102] | [1, 85, 88] | [8, 82, 93] | [6, 81, 108] | [2, 78, 103] | [0, 75, 97] | [1, 74, 96] | [4, 73, 87] | [8, 72, 91] | [4, 71, 77] | [5, 67, 76] | [1, 66, 80] | [9, 65, 94] | [8, 64, 100] | [5, 63, 68] | [9, 61, 79] | [8, 59, 84] | [5, 53, 104] | [9, 52, 54] | [1, 47, 105] | [7, 46, 69] | [4, 44, 89] | [4, 40, 49] | [3, 38, 101] | [3, 37, 51] | [1, 36, 62] | [9, 35, 57] | [5, 33, 43] | [8, 32, 58] | [5, 31, 42] | [5, 30, 90] | [3, 29, 56] | [3, 28, 92] | [8, 26, 109] | [7, 24, 27] | [8, 23, 98] | [0, 22, 41] | [1, 21, 83] | [2, 20, 106] | [6, 19, 86] | [2, 18, 55] | [4, 17, 70] | [8, 16, 45] | [3, 15, 48] | [5, 14, 60] | [5, 13, 39] | [3, 12, 50] | [8, 11, 34] | [1, 10, 25]"
"scenario3","dataset_006",5552.88,8.86,"[7, 94, 107] | [2, 90, 99] | [0, 88, 108] | [3, 85, 101] | [3, 82, 109] | [3, 80, 103] | [4, 78, 89] | [0, 76, 100] | [7, 72, 92] | [9, 69, 74] | [8, 66, 102] | [7, 58, 79] | [9, 57, 73] | [0, 55, 65] | [3, 51, 64] | [6, 50, 59] | [0, 49, 71] | [0, 47, 54] | [3, 45, 52] | [2, 44, 67] | [7, 43, 104] | [7, 42, 105] | [8, 40, 98] | [7, 39, 68] | [2, 37, 41] | [0, 36, 48] | [0, 35, 93] | [7, 34, 56] | [2, 33, 61] | [7, 32, 87] | [7, 31, 91] | [9, 30, 83] | [8, 28, 29] | [7, 27, 95] | [9, 26, 53] | [9, 24, 46] | [7, 23, 84] | [5, 22, 70] | [6, 21, 97] | [7, 20, 62] | [0, 19, 96] | [7, 18, 38] | [7, 17, 75] | [9, 16, 81] | [4, 15, 60] | [8, 14, 25] | [8, 13, 63] | [7, 12, 77] | [6, 11, 86] | [4, 10, 106]"
"scenario3","dataset_007",4583.99,10.16,"[9, 102, 109] | [3, 95, 107] | [2, 94, 98] | [6, 74, 103] | [5, 72, 91] | [3, 71, 101] | [5, 70, 108] | [5, 66, 75] | [5, 63, 82] | [7, 62, 83] | [1, 60, 100] | [4, 59, 92] | [7, 58, 81] | [1, 55, 105] | [4, 54, 80] | [6, 52, 56] | [5, 49, 84] | [8, 47, 89] | [1, 46, 53] | [0, 45, 57] | [6, 43, 87] | [5, 42, 96] | [8, 41, 51] | [6, 40, 90] | [4, 39, 77] | [4, 38, 88] | [0, 37, 68] | [8, 36, 44] | [1, 34, 48] | [7, 33, 64] | [9, 31, 106] | [0, 30, 93] | [3, 29, 50] | [0, 28, 104] | [4, 27, 78] | [5, 26, 35] | [8, 24, 99] | [2, 23, 73] | [8, 22, 69] | [4, 21, 97] | [4, 20, 67] | [0, 19, 25] | [1, 17, 85] | [5, 16, 32] | [5, 15, 65] | [0, 14, 86] | [2, 13, 76] | [4, 12, 18] | [5, 11, 61] | [8, 10, 79]"
"scenario3","dataset_008",4730.63,9.04,"[3, 97, 101] | [5, 91, 107] | [0, 88, 98] | [1, 85, 103] | [0, 81, 100] | [9, 80, 93] | [6, 79, 105] | [4, 74, 96] | [4, 72, 78] | [9, 69, 106] | [5, 67, 109] | [3, 63, 68] | [0, 61, 62] | [3, 60, 108] | [2, 59, 76] | [0, 56, 83] | [8, 55, 65] | [2, 54, 99] | [4, 53, 84] | [0, 52, 58] | [4, 49, 92] | [2, 46, 51] | [8, 44, 71] | [0, 41, 43] | [3, 37, 50] | [4, 36, 94] | [4, 35, 38] | [0, 34, 40] | [1, 33, 45] | [8, 32, 57] | [9, 31, 102] | [4, 30, 82] | [1, 29, 64] | [8, 27, 90] | [4, 25, 73] | [9, 24, 48] | [4, 23, 87] | [9, 22, 28] | [9, 21, 42] | [5, 20, 77] | [2, 19, 66] | [8, 18, 104] | [5, 17, 86] | [0, 16, 26] | [2, 15, 47] | [6, 14, 39] | [1, 13, 95] | [0, 12, 70] | [1, 11, 75] | [9, 10, 89]"
"scenario3","dataset_009",5346.00,9.69,"[4, 99, 103] | [7, 96, 109] | [7, 89, 104] | [6, 83, 106] | [1, 82, 93] | [7, 80, 90] | [4, 79, 107] | [0, 75, 101] | [2, 73, 74] | [9, 70, 85] | [8, 65, 94] | [4, 63, 105] | [5, 62, 64] | [5, 60, 72] | [9, 59, 78] | [1, 58, 61] | [9, 56, 92] | [9, 54, 86] | [1, 50, 84] | [9, 46, 47] | [9, 44, 71] | [1, 42, 102] | [3, 41, 76] | [3, 40, 52] | [9, 39, 45] | [2, 38, 97] | [3, 37, 69] | [7, 36, 66] | [3, 34, 43] | [8, 33, 35] | [9, 32, 87] | [7, 29, 51] | [0, 28, 55] | [7, 27, 98] | [0, 26, 53] | [9, 25, 49] | [5, 24, 108] | [4, 23, 31] | [9, 22, 88] | [4, 21, 91] | [4, 20, 67] | [4, 18, 48] | [3, 17, 81] | [8, 16, 30] | [4, 15, 68] | [7, 14, 95] | [9, 13, 57] | [9, 12, 19] | [2, 11, 77] | [7, 10, 100]"
"scenario3","dataset_010",5388.19,9.42,"[2, 99, 101] | [5, 88, 96] | [3, 87, 100] | [2, 83, 106] | [2, 80, 82] | [2, 75, 79] | [6, 73, 109] | [2, 69, 103] | [2, 67, 102] | [5, 64, 94] | [0, 63, 107] | [2, 61, 66] | [9, 60, 93] | [6, 58, 95] | [0, 54, 57] | [9, 53, 70] | [4, 51, 52] | [1, 50, 74] | [1, 49, 76] | [5, 48, 108] | [4, 46, 68] | [2, 45, 84] | [2, 43, 105] | [0, 42, 90] | [4, 41, 55] | [1, 40, 78] | [0, 38, 56] | [0, 34, 91] | [6, 33, 71] | [6, 32, 92] | [6, 31, 77] | [2, 29, 35] | [9, 28, 72] | [3, 27, 37] | [9, 26, 81] | [2, 24, 104] | [3, 23, 98] | [3, 22, 65] | [6, 21, 89] | [1, 20, 97] | [0, 19, 62] | [7, 18, 59] | [9, 17, 44] | [4, 16, 30] | [5, 15, 47] | [8, 14, 86] | [4, 13, 85] | [6, 12, 36] | [1, 11, 39] | [6, 10, 25]"
