scenario,dataset,total_distance_sum,total_time_ms_sum
scenario3,dataset_001,4592.78,11.99
scenario3,dataset_002,4883.29,11.01
scenario3,dataset_003,6503.84,9.39
scenario3,dataset_004,4944.09,9.58
scenario3,dataset_005,5192.73,9.83
scenario3,dataset_006,5552.88,8.86
scenario3,dataset_007,4583.99,10.16
scenario3,dataset_008,4730.63,9.04
scenario3,dataset_009,5346.00,9.69
scenario3,dataset_010,5388.19,9.42
scenario3,dataset_011,6319.05,9.52
scenario3,dataset_012,4825.41,10.11
scenario3,dataset_013,5831.86,8.63
scenario3,dataset_014,4874.01,9.68
scenario3,dataset_015,5633.80,10.66
scenario3,dataset_016,5983.25,10.24
scenario3,dataset_017,5628.39,9.02
scenario3,dataset_018,5220.48,8.78
scenario3,dataset_019,6122.79,9.84
scenario3,dataset_020,4718.47,9.59
scenario3,dataset_021,5667.97,10.32
scenario3,dataset_022,5275.55,12.71
scenario3,dataset_023,5077.75,11.47
scenario3,dataset_024,5255.73,9.78
scenario3,dataset_025,4869.31,8.49
scenario3,dataset_026,5518.69,8.96
scenario3,dataset_027,5957.86,10.15
scenario3,dataset_028,4710.23,8.72
scenario3,dataset_029,6002.69,8.01
scenario3,dataset_030,5101.81,7.38
scenario3,dataset_031,5394.85,9.09
scenario3,dataset_032,5320.24,7.17
scenario3,dataset_033,5118.94,8.21
scenario3,dataset_034,5058.69,8.69
scenario3,dataset_035,5370.08,7.74
scenario3,dataset_036,4867.72,8.97
scenario3,dataset_037,6327.21,8.01
scenario3,dataset_038,6265.91,9.83
scenario3,dataset_039,5338.27,9.43
scenario3,dataset_040,5259.61,9.20
scenario3,dataset_041,6407.88,9.20
scenario3,dataset_042,5080.63,8.41
scenario3,dataset_043,5476.85,8.72
scenario3,dataset_044,5812.46,9.05
scenario3,dataset_045,5211.16,10.60
scenario3,dataset_046,4856.70,9.34
scenario3,dataset_047,4985.27,8.56
scenario3,dataset_048,5688.60,9.73
scenario3,dataset_049,4450.90,8.39
scenario3,dataset_050,5065.93,9.24
scenario3,dataset_051,5306.69,10.49
scenario3,dataset_052,4962.12,8.79
scenario3,dataset_053,6157.38,10.09
scenario3,dataset_054,5209.73,8.67
scenario3,dataset_055,6705.44,8.05
scenario3,dataset_056,5390.85,9.87
scenario3,dataset_057,5974.03,7.01
scenario3,dataset_058,6765.48,7.76
scenario3,dataset_059,6745.19,9.23
scenario3,dataset_060,6339.90,8.86
scenario3,dataset_061,4967.21,9.09
scenario3,dataset_062,5351.48,9.51
scenario3,dataset_063,4891.45,9.65
scenario3,dataset_064,4566.28,8.29
scenario3,dataset_065,5223.61,9.42
scenario3,dataset_066,5400.39,7.99
scenario3,dataset_067,4695.17,8.69
scenario3,dataset_068,4940.56,8.69
scenario3,dataset_069,5311.48,7.68
scenario3,dataset_070,5447.05,10.42
scenario3,dataset_071,4813.35,8.56
scenario3,dataset_072,5544.91,7.05
scenario3,dataset_073,6538.69,9.52
scenario3,dataset_074,5368.16,7.88
scenario3,dataset_075,4829.63,8.73
scenario3,dataset_076,6243.52,8.89
scenario3,dataset_077,5122.44,7.62
scenario3,dataset_078,5530.77,9.98
scenario3,dataset_079,5935.94,9.93
scenario3,dataset_080,4787.15,10.11
scenario3,dataset_081,4701.60,8.51
scenario3,dataset_082,5328.79,9.02
scenario3,dataset_083,5818.70,9.30
scenario3,dataset_084,4973.58,8.82
scenario3,dataset_085,5563.61,9.78
scenario3,dataset_086,5372.90,7.64
scenario3,dataset_087,6157.70,8.96
scenario3,dataset_088,5422.33,10.57
scenario3,dataset_089,5092.10,9.78
scenario3,dataset_090,5922.28,8.49
scenario3,dataset_091,5451.77,10.25
scenario3,dataset_092,5139.74,9.13
scenario3,dataset_093,5341.79,8.69
scenario3,dataset_094,5748.43,8.70
scenario3,dataset_095,5257.73,8.98
scenario3,dataset_096,5839.82,8.25
scenario3,dataset_097,5649.55,8.86
scenario3,dataset_098,5385.98,8.81
scenario3,dataset_099,6643.06,7.75
scenario3,dataset_100,5329.97,9.16
